id,ref_dokumen_kerjasama,ref_kegiatan
b8677634,c9bbd30e,54607743
2ff382cb,e493b17b,b1b4ae5a
2c0c46c5,e7fba071,9d18bb64
0e854c68,aa5ebb6e,15aa3417
af735ee4,ec1c3a11,995bcea7
c3579e8a,20ee8679,a8b525bb
d1f10950,50c3d5a7,72bd4670
ed3feabe,e6f923b5,da0e4e43
a95c652d,9d5f5090,abfdc801
ac1331af,5571291b,ae55266e
42d91e76,d6dd2541,3aaee13f
0962cee7,4795a68e,81dd0347
b98921ba,af2dfde5,4e2b1c8e
4dc6b10c,7c88c5e0,29adf3dd
a74b3783,b6d4cb27,4a0a821d
4da37662,bb966534,81b69a48
3082dfe7,c6fd2601,7c9d611a
2d9215bf,9ac1fd83,9763882a
8ce0d522,15319b75,b3455a81
7d80df14,29cc9ba4,ab04eed8
acbda457,9f6c2c74,e86d7434
27193817,50cb40f3,2f519db0
d24011d9,e0e6d26f,88fefbc2
f305e36c,0c0a20bb,a15c0d5f
0457f496,ae47b7e0,f30ab3b9
aaab17a6,982ab1a9,933cb017
d9e11882,f9bd33b3,74bfc2cf
fee5df96,255ed1fe,dff19ca2
09c14bd3,d3787078,d6adb163
2de17cb8,920ed380,52554acc
ac702b53,f47bd415,fb2a7913
ca7555ec,5d4bffed,657bd4cd
e91662c2,326bc153,5a83ec22
47b73243,bd280ac8,6d96417a
4f9043bd,1f03d59b,8cd7df18
3017d8d3,a45d8fff,5966ad56
39202971,b8613336,5b71d928
d0704fda,7ea5f769,62d99708
d53ad1e4,25878b9b,115823b1
ba100747,6c2b5f6d,29f7a17b
49f39017,a0351bb9,9238a8a8
56576dea,8c47b5fa,11f2316a
43aa047b,5e980cb3,a2c402e5
962a4c6c,bc0acee9,0e9e7d43
b9dd55d1,32f3bd9f,99645783
cb804484,9d4f0e68,d3cc43d4
d2a85bea,8466f29e,389de7a9
2c90b1b9,73ca10aa,e8d0c4d4
93af12d4,32879926,6352cd82
fa5d4a2d,572dcf76,d7cbfd6c
d732a600,c431029f,86cb78d3
bb8f2334,53cf3c8b,d25cb6a5
661cfd9e,ae619cdb,56beba27
1109ee4a,beae12bc,2182c7ee
40d1b41e,a117dc1e,4f87f519
ac3f817e,12c0e9a1,19ea15fc
b2bdd793,98c206dd,a8aac1a8
907cf988,62e528ad,36204d05
b2f9eb0d,3ca83d03,210b7c09
fcfaf11c,3ffb9c82,ed6758a8
79807026,ec254fc4,60fe01bb
88bc7d8c,053fc7e9,d759eecc
82416774,1e7e0065,b9d3b738
f7e8ae87,23454821,f981c2db
581043d5,9e0d28d0,79d2b803
19faab40,186fb60a,2ff4f6fa
4a2f4114,798bbf85,947ebb11
4509904b,9a1c8938,5c62cb94
0afe190f,c662b6e9,b14bdf6d
710eab90,24b0dfd8,5e52d37e
5ac740f7,6d7c60cb,5018b2a4
7901f090,5c59d0f8,eb70c1d0
b70a2e52,0a6ae060,811a708c
7c411948,d35e6cbc,efaa635d
2f17c2ac,8abba5ab,6ec3a839
97876efc,2d0da9cc,cafbdc99
87877878,49ee7442,4195dc5d
1f102f2c,fbcb8e30,929d3d42
,,
f32f9487,d0732146,43fea2f2
8e9b597a,329c374e,a537ee86
08a75594,61033296,e519eaeb
cc283a2a,df6d0138,d7b93002
,,
bb6e30c4,448fb12a,b1b4ae5a
d45e109a,3ff8f725,af279bfd
acb4dc95,7c0fde5b,9597fb66
75b99413,cf81a8d8,854eeca1
25eb64ff,6e40b7f4,e62d78ad
be4e8fee,0d87b9bc,234c3e15
94f78003,f851af6c,ad2bcd40
205f839b,14e7f445,95554281
fdab9f49,4622ea97,7dbf2a80
2aff31b7,e6d17130,5ebeb4ab
24dc7b3f,8cd3e649,deaf77f4
c8676ddd,6477c235,5c9a2192
e8214bdd,5f9fca5c,3d60c016
e61e18ab,280b0596,212fb3ed
9ecbc753,494c093f,dbb23c3b
6232a026,42c1fca9,9080b463
e6c8b3b2,c1dafee6,a267c5dc
4f968057,98a923ad,cd1fcf21
a17503cd,122a7f0d,f889fa8c
37dc4e96,3d8f052d,bc85386b
d4de741d,9adbc332,a9821f93
74e18b6f,fc2e3ffd,e3abc35b
ede8bd69,a8e5724f,fb90a73c
6762dbd5,6e6924c9,593b9071
fa34140b,ec1a8552,e9af420a
d81b1bc5,85572613,5e52b1dc
4fb384f0,401478f0,fa05ed96
4ce9db54,b4b119ed,287da0ef
afb3787c,856cfe12,01f9a01b
49e30bcc,53ad520c,e6b611fd
6e0eda19,264fd398,afe1bc93
df3590c0,c8520019,14777c06
,,
cabe36e6,f8c39b34,1825aab0
0bfa14ec,0432c21c,41b446de
d6e88ba6,ae6a8b18,b2910f97
088de2e6,902303ce,82c32aba
89ea8b88,d1327750,9affe40e
6cd552ad,02cc6644,ed664090
4b5d5905,d3715414,23bceb12
2d294d88,708ab363,e0d15997
80e2f8df,c83ef695,d038704c
73b37cb3,bfaa5310,77b907be
e9444e37,011e8cee,dac8de79
31a3e8f1,8c3ae131,70dc0047
efa1ad90,851e1ae5,8068c753
1b2f1bab,6e6542a1,ea53cb6a
2f078c8a,f4da7f04,ea53cb6a
a7eb030a,d7f7077f,5e52b1dc
d9b6c292,7b029783,da31cc98
8e33bbee,68eb104b,61b6bfeb
e726e486,ce599f2b,270e2ac2
68d42cbb,4293e81a,fd33dc17
6e1d7beb,3bf4d906,70dc0047
,,
ecf7d5c5,ee33a99f,82bed1c3
