id,ref_pengajuan_kerjasama,ref_mitra,ref_pic_mitra,ref_penandatangan_mitra,nomor_dokumen_mitra,jabatan_pic_mitra,jabatan_penandatangan_mitra
8e767a64,0857f568,3945ddae,,,1263/I.1C09/DN/2012,,
e611eba2,8f3a6a08,f52370d0,,,42/UN10/DN/2016,,
ee70d5dc,908f0bf8,1eba2efe,,,31/MOU.PL29/XII/2014,,
99105166,368d8046,56250757,,,07/PL26.R/MOU/XII/2014,,
49a17770,98b2d8b1,6f5770bf,,,641/UN22/DN/2014,,
c2ff42ca,957d8fff,443bf73f,,,800/241/SMKN1/2014,,
36cf5e10,8c784806,f29cbbe2,,,Sti.22/PP.00.9/454/2015,,
b0eb9620,4690f571,9fc1d8f5,,,393/PL15/KS/2016,,
ed35aa5c,6df4e8fb,578bb7de,,,070/PL22/KS/2016,,
79774ba0,ceb28dda,6f5770bf,,,,,
a35a5c40,ceb28dda,47131ba8,ab3614e4,,,,
7f9759da,9a07f003,5d755c11,,,,,
12e464f4,3ae6cdb7,61db476b,,,,,
633ae507,3a0b2f1a,743eea05,,,,,
eb03e440,db7b8591,743eea05,,,,,
af8b7c6c,e18498df,47131ba8,,,,,
8bcf6bf2,f24e69b2,bbd3d7b0,,,B396/SUPM/DL.210/VI/2011,,
71cd1b06,069a9e60,4dac8eae,,,,,
91110d93,4e08cdd6,4113adfe,,,,,
,,,,,,,
a12b97be,2831caca,65f47e1a,,,,,
22760e8a,97197fab,30bc4bd5,,,,,
078da641,38062a12,8a502050,,,,,
9494fa66,e027f5d8,95c4aa17,,,,,
38e8af86,0a655a60,32ce5dd5,,,07/SPIA/Kh/2016,,
4dc68427,05f1396b,7f0f7aa8,,,02/LPJK/P/KB/I/2014,,
e9a9906f,037cc68b,8ceb5db5,,,41032/I/BPMPTS/2015,,
9c60632f,3e8521c1,0d98f993,,,074//07/Disdik,,
7935bf34,e7436e1e,5c67e145,,,01/2014,,
979d5636,9dca5a37,8b9cd083,,,050/8/BAPPEDA-KKU/2013,,
3545535f,0f1c6cc2,940f207a,,,B-03/Q.1.10/GS.1/03/2014,,
bfe4755c,16d3a8e6,c3b369ba,,,34/srt/skynet/2013,,
09d0acfc,607a5d2a,ffed5319,,,0619/PTK-V/KC/2014,,
47935da8,32dec155,d9f9696d,,,Tel161/HK810/DTT-HD2200000/2014,,
9804b650,6c8874c1,b090c69d,,,01/2014,,
54c0b541,2674428b,93f898e7,,,01/2014,,
2b6c2b09,4a0cbe33,c43b34ce,,,364/PKS-UNIV-LGL/AAJI/XI/2016,,
927441d8,89ad8c3c,076ac1c7,,,002/MOU/BKM/2014,,
9792bad0,52a508c6,bf2cc288,,,550/122/DISHUBKOMINFO-SEKRT,,
7c206bd4,1b67448d,0f7cd0e4,,,792,,
9441d12f,3c4d433e,71a17ad1,,,PKS.358/LG.05/AR.004/V/2015,,
c527f347,7cbeb70a,bc786e76,,,041.3/723/IDK.Set-A,,
085d6bae,060ada57,e4d8331e,,,421.4/2494/Set.A,,
48e4c94c,37d83a5a,4b3bcc5f,,,SKW/2/56526,,
57900224,05275f79,5f8eb936,,,138/56/SSA.UM/XII/2013,,
73de538b,5c1899b3,3ef8f93e,,,181/4/KESRA/2015,,
a3236a15,28da42aa,ab0eb5f8,,,421.4/162/bappeda/ps-b,,
71301bfe,2ee7af0c,ab0eb5f8,,,421.4/173/bappeda/ps,,
81d46495,49f4878e,b56e20ac,,,PKS.88/V-SET/2015,,
bfbb2935,6951afa5,b7d34162,,,DIR/PKS-PEM/83.A/2014,,
83a524d8,7d1add9b,b7d34162,,,DIR/PKS-UMM/104/2014,,
d6367462,810dd185,ab0eb5f8,,,421.4/168/bappeda/ps,,
6ae9109b,ee9bfa28,3ef8f93e,,,143.b/KESRA-C/2015,,
a7265e7b,a815b69b,d595beb0,,,082/GA/PBC/PTK/X/2014,,
f10b2e04,3b6e95a1,791509a0,,,119/0891/PDE/2015,,
3b467b9c,9127a9e5,7451b02c,,,660.1/161.a/KLH/P2K,,
0add1e00,7a9029fd,df8a288e,,,,,
9a90742b,8bc62ff6,e8b515cc,,,,,
6a4b2e1b,4209e2a0,7627db41,,,,,
a4a12f82,ce7b7ca0,7627db41,,,,,
f4252a8e,c6876317,a32b9d38,,,,,
23fa4b42,96249aa6,c2045b0d,,,18/28/Ptk/P/B,,
e7730e0b,3d446b10,28aad8c9,,,052/MOU/IAI-JB/XII/2015,,
cc157adf,3e14fcf1,a6c7402b,,,019/NK-IAPI/XII/2015,,
24fe255e,a0b4be6d,a6c7402b,,,002/SPK.TC/POLNEP/IAPI/XII/2015,,
79c3f6b3,dc6cd538,ab0eb5f8,,,421.4/1064/Baooeda/PS-A,,
53bfbc93,d82b6380,2429d6e1,,,01/IRG/KB/2013,,
48355b7a,0f0b722c,8ca859ca,,,00306/BEI.HKM/09-2016,,
7188a6a9,0f0b722c,aa34672f,,,BPS-Dir/VIII/2016/190,,
1d3c396d,6268194e,f0d1dc98,,,08/8A/IX/2016,,
4ce1950f,7a4ba558,fd363d5f,,,26/PK/EKON-Bappeda,,
b3fed425,7a4ba558,5d79d7ec,,,690/HM.320/B/09/2014,,
f8725d1f,7a4ba558,7d5d2675,,,224/IUBTT/9/2014,,
8220d377,7a4ba558,4771b6f0,,,3923/IT3.6/DN/2014,,
f70e25ef,a6be1a7d,427270fc,,,,,
91e805f9,9d774feb,ad4765cd,,,415.4.42/2454/Umum-A,,
2a45213c,6167Dec3,68411442,,,539/2455/EK-B,,
1c401232,8a28e5a8,82680f9b,,,050/17458.1/0-kes/prc/2016,,
25ce8dbf,acabfbe3,c43b34ce,,,028/PKS-UNI-LGL/AAJI/XII/2017,,
17a064cf,1c079113,23edc1e0,,,,,
f9d12da0,aa1f6dbc,bcbfa12c,,,,,
d1d6762c,0ddb7700,1453e4a2,,,,,
646fcd5a,bd034d71,8f6cb983,,,,,
ee5f739b,4dc0a29d,4a7cfeca,,,,,
253bd422,7908ccdf,82c4516a,,,18/PL3/DN/X/2017,,
2e8a86e3,664644de,4a140f10,,,050-BRISPNKGustiSulung/03-2017,,
b6c0b257,31190578,006f1bb8,,,19/1195-3/025,,
799df406,1323d12c,ee558f08,,,028/3453/BPKAD-D,,
8d97cc97,ec916920,5e7a3ad0,,,,,
a91a9ab3,0469ce43,4a7cfeca,,,,,
7c4587b1,93e4eaf7,c6e53f66,,,,,
49d1355a,7b3298be,587109a7,,,,,
095d74b8,4d48afd3,a230cb88,,,,,
9ae20479,a26a01e0,c6e53f66,,,,,
37cf883a,7fc85d41,aae43369,,,,,
e12bda67,6c2f6e37,a93d8d65,,,002/STIESIAP/KS/2018,,
1aac5a94,3135d367,91146e8f,,,002/STBA-PTK/KS/2018,,
d65791a3,4ed337d1,b4949465,,,002/ASMI-PTK/KS/2017,,
77acb3a0,6fb8eb45,989b0b05,,,KEP-43/WPJ.13/2017,,
151710ad,ec4a3ec8,46ee0b60,,,074/75/DPUSDA/JK-B/2017,,
fe468748,741775a2,88073994,,,,,
5fdddc57,927039ad,757d075c,,,HM.04.02-Bp/294,,
0c477d9b,df84bdda,ee23f76c,,,HM.04.02-Bp.3/095,,
d7aac8c3,886901c5,4a140f10,,,051-BRISPNKGustiSulung/03/2017,,
88953d96,e700b1a4,4a140f10,,,B. 049 -FUN/PNKGustiSulung/03/2017,,
9507efbf,cbe5bae5,128caaad,,,009/PKS-S/PM/V2017,,
1229162c,a43a9881,54a8b558,350ae11f,,011/HC-ICA/SKP/IV/2017,,
34cafb36,b89bf553,1147018f,,,001/MOU/UPI Y.A.I/IV/2017,,
04238c48,20992ec9,4c64f6cf,,,LUT/0459/3500-F/IV/2017,,
1d0eca75,0745ecf0,6cfb1f38,,,9/SP-V/2017,,
55da4df2,f34306d0,ab0eb5f8,,,421.4/375/bappeda/P3,,
e1b854e6,f88aa6cc,bf3bcb83,,,1446/PL37/KL/2017,,
b86f8d75,41e92cec,23ed5c02,,,227/UMM/XI/2017,,
d21eaf77,ab7f85b0,4b41eef5,,,004/XI/MOU/AKP2I/2017,,
776776fc,1c3d7be3,54fb1605,,,415.42/01/DPPKUKM,,
73e10b14,060dabe9,ad4765cd,,,453.2/1879/Kesra/2017,,
8be18921,ee1d3893,54b7f9ee,,,2669/UN31.43/KS/2017,,
0f48bce4,fa2c6b6b,c43b34ce,,,364/PKS-UNIV-LGL/AAJI/XI/2016,,
02b47732,2c46737e,99c82576,,,,,
609a1c48,93ba0867,7a0062b1,,,,,
73cc88d7,26b0b287,c7d0bcc3,,,,,
102ac785,463ccb06,da8e3744,,,,,
09c1dcfb,16d090b5,da8e3744,,,,,
a39b4f24,d489af57,da5386e5,,,,,
1ed37b57,9413fdb4,435c6849,,,,,
bdd6c0ef,8fa6dc28,2907174c,,,,,
a8c0e6ca,a104640a,ce0d16d9,,,445/012/UPTD RSUD/PTK/2018,,
9da24a8a,139ed125,46ee0b60,,,074/14/DPUSDA/JK-B/2018,,
a4dd7c9d,79274840,1650c46c,,,01/Bappeda-C/2018,,
7f0e788a,c5accb85,ad4765cd,,,415.4.42/154/Kesra-C,,
d334da4d,afaaadc9,59c470d0,,,523.074/128//DKAN/SET-C,,
e39ef3ef,abdbb505,ec83640f,,,800/103/SMK.0201/2018,,
82df74e0,8c5821b2,ad4765cd,,,030/423/BPKAD-ASET/2018,,
4b3ee831,4003632b,ad4765cd,,,420/974/DIKBUD,,
fd3c4140,6bc94d5d,46ee0b60,,,074/288/DPUSDA/JK-B/2018,,
3b71981a,ab4f51be,69a17ee6,,,523/51/DKP3-KAN/2018,,
45afad79,87b42061,46fc6bc1,,,523/52/DKP3-KAN/2018,,
4675ec09,30ef39cf,dfe3a0e2,,,523/15/BI-2018,,
8f0b3e28,41d25648,dfe3a0e2,,,523/15/BI-2018,,
9291dcd3,e24f1e3e,8ca859ca,,,0630/BEI.HKM/10-2018,,
648aac7b,e24f1e3e,e5a82544,,,21/GI-RS/X/2018,,
ce977ad1,25ec61ea,9bd12a6b,,,01/Srt/UPRSB/2018,,
8e12aa94,c7f163e2,0a407487,,,01/SRT/UPRLD/2018,,
b6cc23db,2dfc0f57,967b7b3f,,,001/PKS/MPH/2018,,
c0359e69,b35c559c,9f693d69,,,01/SRT/UPRMM/2018,,
45b209ab,dca33513,ac66e411,,,01/SRT/UPRSKM/2018,,
47a6bf67,ecc47061,df8a288e,,,,,
0bfbb2fb,5c723092,006f1bb8,,,20/2132-PKS/DIR,,
ceec22ac,57616e3c,967b7b3f,,,001/MPH/08/2018,,
c51d224e,73af571f,826fbf1c,21bf38ed,,109/BM/IX/2018,,
d073a99e,4c9ab5c4,39c09310,,,421.3/195a/SMPN1Pts/SM-A/2018,,
df27412a,5754e49d,538ffa25,,,47/sek/IAI-Kalbar/II/2018,,
3f1b3679,36c8922a,ab0eb5f8,,,032/7/NPHD/BAPPEDA/2018,,
1b742e65,3135e28d,bf80cab5,,,128/SK/FHCI/XI/2018,,
f8cbc9ae,96d8babf,7fd10e99,,,0011/HKM.00.01/WKB/2018,,
08bda363,6af9965a,150e42ac,,,001-0/MOU-POLNEP/PD-MC/CBM-JKT/XI/2018,,
f0568989,2979d5e8,7872b527,,,1547/BPPI/Baristand-Ponti/II/2018,,
d0a036cd,69a463dd,99c82576,,,,,
703d7585,8c09f42f,dce1a021,,,,,
2aced07c,996d4c09,ed48c572,,,1047/PEM-DES/TJM/2019,,
47f69202,84f697e9,b60ea102,,,1178/XV-KC/LOG/04/2019,,
4968f73d,36ba202a,dce1a021,,,,,
44a18b3e,9a3d80ae,66873fec,,,020/197/PPK-SETDA/2019,,
ae30264f,2afbda90,ee558f08,,,032.052/5405/BPKAD-D,,
fc9865ac,deef5e44,131b2dd1,,,,,
676789df,9cb3ed45,82680f9b,,,075/071.1/Dinkes-UA/2019,,
57a62f34,9cb3ed45,eda08d8c,,,HK.05.01/1.3/091/2019,,
27e54e06,9cb3ed45,c27f4e6e,,,064/K/AKBIDSB/I/2019,,
e9d381f6,9cb3ed45,0252ff83,,,11-AKPB-TU.01-01/19,,
270ac8a8,9cb3ed45,66cd7820,,,002.a/AKBID.A-MOU/C/I/2019,,
249b2177,9cb3ed45,1fe10b5a,,,076B/F-1/114079/I/2019,,
fcb1509a,9cb3ed45,c30029fc,,,0002a/II.3.AU.15/A/2019,,
1b173269,9cb3ed45,b1e578e3,,,014/STIKes.YSI/I/2019,,
51daf29c,9cb3ed45,9f94336e,,,23/MOU/K/AKPERDI/2019,,
e2d4ac31,9cb3ed45,7dd2a76b,,,001-B/S-MoU/SMK-KES-BD/I/2019,,
e22cf148,9cb3ed45,84163b4e,,,12.UN22.9/KS/2019,,
ea0e30c8,9cb3ed45,561587c6,,,167/II.I.AU/MOU/F/I/2019,,
33a95a30,9cb3ed45,4b0ac691,,,022/STIKARA/MoU/I/2019,,
211f25e5,4a4bd5a3,09a5936a,,,28/PKS/Non-OP/II/2018,,
695a08ad,50b44b88,a138b044,,,B/11/PL10/HK.05.00/2019,,
00ae9265,abbf41c0,f3990622,,,001/PKS-MB/ASK/DIR/I/2019,,
462e18a5,016529bc,46ee0b60,,,074/34/DPUSDA/JK-B/2019,,
55195579,b3a6f637,ad4765cd,,,420/305/KESRA,,
849b6464,f6a34755,b60ea102,,,466/XV-KC/LOG/02/2019,,
f517fe3d,76a39c71,d71f4c47,,,3126/PL17/KS/2019,,
c3c6d4c7,169bb695,b17c846a,,,109/Ren-NMPU/2019,,
12f5927b,ec2af169,6f5770bf,,,4275/UN22/KS/2019,,
6246a743,cf6d6c53,4da23d30,,,284/MoU/M.KOMINFO/HK.03.02/04/219,,
1ec0c42d,a6428c82,a2aa3a24,,,71/KOMINFO/BLSDM/HK.03.02/04/2019,,
d5fa4ff3,1c46fc6d,bf80cab5,,,170/SK/FHCI/IV/2019,,
ada0fdf3,915e782a,ab0eb5f8,,,032/01/NPHD/BAPPEDA/2019,,
f2b9605d,34744d81,ab0eb5f8,,,032/02/MoU/BAPPEDA/2019,,
47932630,8fd79b67,faf76444,,,94/DRP/SK/V/2019,,
7dc51b7c,5379dff7,e00f5910,,,99/PL11/KS/2019,,
cd00650e,a535dbbb,feecd01a,,,003/REKTOR-MOU/V/2019,,
77a35f0b,f91e42b3,9f670727,,,BNN.Plt/01-KB/V/2019,,
e2aad9d9,88f6a034,b1e578e3,,,352/STIKes.YSI/XI/2018,,
e6a760e2,e6445263,7c4f8ad4,,,2866/PL36/HK.07.00/2019,,
ae7929fa,9e816e1d,e196ca76,,,36/PL3.D/HK.05.00/2019,,
9dbd25d8,ec76fbb7,4451e82c,,,4202/PL27/DN/2019,,
0ef96680,7e29c831,5357b232,,,258/11.3.AU/A/2019,,
f09daf81,82c4553b,b7a605b4,,,1/PL39/HK.07.00/2019,,
51f6ed42,097af4da,00d6ad58,6599c8b1,,001/MOU/SR-POLNEP/V/2019,,
d49a8c04,1d1e5909,b2ac6a5d,,,4749A/PL4.4/HK/2019,,
a12563da,3547bb27,2f64775f,,,2323/PL34/KS/2019,,
