id,ref_kegiatan,ref_output
efbbe0ea,e6b611fd,f53e8ff1
615a77f3,5e52b1dc,bd970dc4
0c253e98,fa05ed96,8c8aa199
a4d41278,e9af420a,cdee178d
e6294055,234c3e15,0c933f2f
615c1df9,593b9071,e85bcb44
b693228c,d7b93002,3bc63958
5250d9cd,929d3d42,91f9ae37
0353f7f3,e519eaeb,cf5e2a15
f724d614,11cbb76c,1023b144
9fe5c909,95554281,a02c2ff1
0a7f906a,43fea2f2,645f496f
cf9835c6,e3abc35b,e731836f
f5cd41b6,b14bdf6d,c43a9066
16b392ff,811a708c,41e7b77a
5b41cab9,afe1bc93,d3a206e3
ef6c1f40,5c62cb94,a38f5051
d685a5b9,5e52d37e,598b4528
e8d1f65e,a537ee86,2e1c9055
0a83d5f1,9597fb66,11f4fe96
baa3912c,e62d78ad,689209c9
da374096,af279bfd,bc31e8e2
baa95827,a9821f93,77e0de61
f94d591b,b9d3b738,f32623af
e8e1b005,6ec3a839,9a6e09ba
fc52f169,bc85386b,31631844
04c4a633,cafbdc99,c6eb5af3
d7a67763,f889fa8c,a2a49ca9
d92c0aff,f981c2db,6982ae3f
801a0a93,4195dc5d,1bc792fb
2c843e3b,fb90a73c,54915fc5
0a3ab8c5,d759eecc,0fab11bb
f2340d3b,dbb23c3b,f0041254
9b80210b,cd1fcf21,b26a85c8
1b8dcd50,eb70c1d0,0861149f
acb45840,5018b2a4,15f8eefc
81f55d6f,2ff4f6fa,a2598ea5
6c31a123,a267c5dc,c2169e5c
357f2a45,947ebb11,5fbd276e
39738723,ad2bcd40,af61f729
b9eed057,9080b463,66baebd1
,,
2334af9a,79d2b803,720d82c4
2064fc75,1825aab0,20ad822e
b761712f,1825aab0,8f5a9e00
0c40f5e6,41b446de,7a0f5c22
e92d27d1,41b446de,3e9e7910
9372cc5f,b2910f97,0fd00286
fc420c63,b2910f97,289dc47f
eeec3d06,9affe40e,e6577cca
48433478,9affe40e,73490514
b35dd5b2,ed47db06,7e53e867
