id,provinsi,kabupaten_kota
guqyf09o,Aceh (NAD),Aceh Selatan
8o3lo166,Aceh (NAD),Aceh Tenggara
803a7l52,Aceh (NAD),Aceh Timur
wrhag59x,Aceh (NAD),Aceh Tengah
1n9fm5px,Aceh (NAD),Aceh Barat
s27f963q,Aceh (NAD),Aceh Besar
l0pokdwy,Aceh (NAD),Pidie
q3419e6a,Aceh (NAD),Aceh Utara
4ulm1i7j,Aceh (NAD),Simeulue
pqg6r0xb,Aceh (NAD),Bireuen
le1w7nc8,Aceh (NAD),Aceh Barat Daya
02wlzwnl,Aceh (NAD),Gayo Lues
ipnz9030,Aceh (NAD),Aceh Jaya
p0545636,Aceh (NAD),Nagan Raya
085580ux,Aceh (NAD),Aceh Tamiang
ki9vk1dp,Aceh (NAD),Bener Meriah
8ykq4xh0,Aceh (NAD),Pidie Jaya
73j51702,Aceh (NAD),Kota Banda Aceh
t8r3xp7f,Aceh (NAD),Kota Sabang
51490o2u,Aceh (NAD),Kota Lhokseumawe
f39a0cnc,Aceh (NAD),Kota Langsa
6h0feyb7,Aceh (NAD),Kota Subulussalam
s9253s90,Sumatera Utara,Tapanuli Tengah
g1j2o48m,Sumatera Utara,Tapanuli Utara
2q1958x2,Sumatera Utara,Tapanuli Selatan
9i6vgd0e,Sumatera Utara,Nias
31dtd932,Sumatera Utara,Langkat
2bg6db93,Sumatera Utara,Karo
8i3e8bh1,Sumatera Utara,Deli Serdang
ysfl0025,Sumatera Utara,Simalungun
7v0p5vk7,Sumatera Utara,Asahan
b42hdp12,Sumatera Utara,Dairi
jrp3ly0z,Sumatera Utara,Toba
hd5js5j4,Sumatera Utara,Mandailing Natal
ppkoqg16,Sumatera Utara,Nias Selatan
5wtpth97,Sumatera Utara,Pakpak Bharat
0gp928r2,Sumatera Utara,Humbang Hasundutan
x4388l3e,Sumatera Utara,Samosir
fi1y5o97,Sumatera Utara,Serdang Bedagai
4q0t64uj,Sumatera Utara,Batu Bara
05c7t0n1,Sumatera Utara,Padang Lawas
nrn8239j,Sumatera Utara,Labuhanbatu Selatan
129v9778,Sumatera Utara,Labuhanbatu Utara
k4296mqh,Sumatera Utara,Nias Utara
x4965293,Sumatera Utara,Nias Barat
0092lg59,Sumatera Utara,Kota Medan
41xan2yj,Sumatera Utara,Kota Pematangsiantar
90zidy4u,Sumatera Utara,Kota Sibolga
pe2x577y,Sumatera Utara,Kota Tanjung Balai
j4145aw9,Sumatera Utara,Kota Binjai
qt94xzo8,Sumatera Utara,Kota Tebing Tinggi
fhl07o0y,Sumatera Utara,Kota Padangsidimpuan
ntam134j,Sumatera Utara,Kota Gunungsitoli
by2dn8li,Sumatera Barat,Pesisir Selatan
bq03tnrn,Sumatera Barat,Solok
2950zk90,Sumatera Barat,Sijunjung
j0r31e4s,Sumatera Barat,Tanah Datar
94h394rf,Sumatera Barat,Padang Pariaman
lbjyfou0,Sumatera Barat,Agam
gkt9t85m,Sumatera Barat,Lima Puluh Kota
p339z3fb,Sumatera Barat,Pasaman
mj4ei098,Sumatera Barat,Kepulauan Mentawai
bm366iqa,Sumatera Barat,Solok Selatan
1lbv5sj5,Sumatera Barat,Pasaman Barat
8v001jd3,Sumatera Barat,Kota Padang
2vr668z4,Sumatera Barat,Kota Solok
637k549c,Sumatera Barat,Kota Sawahlunto
8y13j45i,Sumatera Barat,Kota Padang Panjang
2hm19d53,Sumatera Barat,Kota Bukittinggi
zr46gxu2,Sumatera Barat,Kota Payakumbuh
20j033p8,Sumatera Barat,Kota Pariaman
0e6x16z7,Riau,Kampar
ui30q010,Riau,Indragiri Hulu
70dv0601,Riau,Bengkalis
9de36k72,Riau,Indragiri Hilir
38eq8t3g,Riau,Pelalawan
1m9r4l2r,Riau,Rokan Hulu
1r6gvt4w,Riau,Rokan Hilir
64zxzu7h,Riau,Siak
7wu62mk2,Riau,Kuantan Singingi
072r6uh7,Riau,Kota Pekanbaru
s01d990z,Riau,Kota Dumai
y16b6607,Jambi,Kerinci
7g7mp073,Jambi,Merangin
8lw8wy25,Jambi,Sarolangun
p7qthjzv,Jambi,Batanghari
w92zf56q,Jambi,Muaro Jambi
g5z96cem,Jambi,Tanjung Jabung Barat
90m37bv2,Jambi,Tanjung Jabung Timur
1muq78co,Jambi,Bungo
yu5y75y2,Jambi,Tebo
5x800jhb,Jambi,Kota Jambi
63k1nw66,Jambi,Kota Sungai Penuh
why223a3,Sumatera Selatan,Ogan Komering Ulu
hc2yw8d9,Sumatera Selatan,Ogan Komering Ilir
1ss0nu07,Sumatera Selatan,Muara Enim
lg9913s3,Sumatera Selatan,Lahat
7m2z467k,Sumatera Selatan,Musi Rawas
c8kh13j5,Sumatera Selatan,Musi Banyuasin
46n4g10s,Sumatera Selatan,Banyuasin
17ng98v1,Sumatera Selatan,Ogan Komering Ulu Timur
3kja9r07,Sumatera Selatan,Ogan Komering Ulu Selatan
apdbs5d9,Sumatera Selatan,Empat Lawang
03wpx360,Sumatera Selatan,Penukal Abab Lematang Ilir
r5a16j6s,Sumatera Selatan,Musi Rawas Utara
802kq419,Sumatera Selatan,Kota Palembang
w6o8mpfe,Sumatera Selatan,Kota Pagar Alam
16x3i1aa,Sumatera Selatan,Kota Lubuk Linggau
w74b84rg,Sumatera Selatan,Kota Prabumulih
y8ce8rhi,Bengkulu,Bengkulu Selatan
98k604t5,Bengkulu,Rejang Lebong
05897ba2,Bengkulu,Bengkulu Utara
x8y482eh,Bengkulu,Kaur
1ulgjefs,Bengkulu,Seluma
10lfr1dt,Bengkulu,Muko Muko
7x29y032,Bengkulu,Lebong
h88eek33,Bengkulu,Kepahiang
9pj7p483,Bengkulu,Bengkulu Tengah
mf86ap91,Bengkulu,Kota Bengkulu
bhmjx1l8,Lampung,Lampung Selatan
9916h0yn,Lampung,Lampung Tengah
9f025i12,Lampung,Lampung Utara
742i21nf,Lampung,Lampung Barat
y61xn09t,Lampung,Tulang Bawang
777z65f8,Lampung,Tanggamus
eod5mm9i,Lampung,Lampung Timur
u704y2n4,Lampung,Way Kanan
h1m3g0r3,Lampung,Pesawaran
y1k60ztq,Lampung,Mesuji
6hs56n2a,Lampung,Tulang Bawang Barat
c6o7todr,Lampung,Pesisir Barat
09ln266h,Lampung,Kota Bandar Lampung
q7w0n0d2,Lampung,Kota Metro
myy659ck,Kepulauan Bangka Belitung,Bangka
8x87xrw5,Kepulauan Bangka Belitung,Belitung
f41fa98a,Kepulauan Bangka Belitung,Bangka Selatan
26n9s341,Kepulauan Bangka Belitung,Bangka Tengah
ry9noe8t,Kepulauan Bangka Belitung,Bangka Barat
921r8277,Kepulauan Bangka Belitung,Belitung Timur
ih3e8921,Kepulauan Bangka Belitung,Kota Pangkal Pinang
e6u7zg4b,Kepulauan Riau,Bintan
ob112o0h,Kepulauan Riau,Karimun
n7finbcg,Kepulauan Riau,Natuna
y63zt383,Kepulauan Riau,Lingga
sw78u0n8,Kepulauan Riau,Kepulauan Anambas
9gn08tbz,Kepulauan Riau,Kota Batam
s46059x0,Kepulauan Riau,Kota Tanjung Pinang
t76j59y7,DKI Jakarta,Kepulauan Seribu
7j1j2k62,DKI Jakarta,Kota Jakarta Pusat
107z9tq3,DKI Jakarta,Kota Jakarta Utara
cuh51315,DKI Jakarta,Kota Jakarta Barat
8aoplq90,DKI Jakarta,Kota Jakarta Selatan
oyy509i6,DKI Jakarta,Kota Jakarta Timur
srd7v38w,Jawa Barat,Bogor
6nz34n8i,Jawa Barat,Sukabumi
nkor1y6t,Jawa Barat,Cianjur
oa889jhd,Jawa Barat,Bandung
7ynz4k62,Jawa Barat,Garut
xvjh210m,Jawa Barat,Tasikmalaya
51z0o3z2,Jawa Barat,Ciamis
35cc9w77,Jawa Barat,Kuningan
rh1m167z,Jawa Barat,Cirebon
oh95r4ri,Jawa Barat,Sumedang
665ybc47,Jawa Barat,Indramayu
40l0lm1y,Jawa Barat,Subang
681t40g4,Jawa Barat,Purwakarta
tz484zes,Jawa Barat,Karawang
4r9qk025,Jawa Barat,Bekasi
