id,kampus,diploma,jurusan,prodi,prodi2
DczNz53,PDD KAPUAS HULU,D-3,TEKNIK SIPIL,Teknik Sipil,D3 - Teknik Sipil (Kapuas Hulu)
XeyGFJL,PDD KAPUAS HULU,D-3,TEKNOLOGI PERTANIAN,Teknologi Pengolahan Hasil Perkebunan,D3 - Teknologi Pengolahan Hasil Perkebunan (Kapuas Hulu)
7m80z9R,PDD KAPUAS HULU,D-3,ILMU KELAUTAN DAN PERIKANAN,Teknologi Budidaya Perikanan,D3 - Teknologi Budidaya Perikanan (Kapuas Hulu)
bCxagWg,POLNEP,D-1,TEKNIK MESIN,Operator dan Peralatan Alat Berat,D1 - Operator dan Peralatan Alat Berat
ecnF9ND,POLNEP,D-2,TEKNIK MESIN,Pemeliharaan Kendaraan Ringan,D2 - Pemeliharaan Kendaraan Ringan
Q20cNFx,POLNEP,D-3,TEKNIK ELEKTRO,Teknik Listrik,D3 - Teknik Listrik
9i8PDqi,POLNEP,D-3,TEKNIK ELEKTRO,Teknik Informatika,D3 - Teknik Informatika
tIE2pJb,POLNEP,D-3,TEKNIK MESIN,Teknik Mesin,D3 - Teknik Mesin
JYncxIa,PSDKU SINGKAWANG,D-3,TEKNIK ELEKTRO,Teknologi Informasi,D3 - Teknologi Informasi (Kampus Kota Singkawang)
7tOzzT3,POLNEP,D-3,TEKNIK ELEKTRO,Teknik Elektronika,D3 - Teknik Elektronika
2UAcDYA,POLNEP,D-3,TEKNIK SIPIL,Teknik Sipil,D3 - Teknik Sipil
6hicJma,POLNEP,D-3,ARSITEKTUR,Arsitektur,D3 - Arsitektur
mGIU2IR,POLNEP,D-4,TEKNIK SIPIL,Teknologi Rekayasa Konstruksi Jalan Dan Jembatan,D4 - Teknologi Rekayasa Konstruksi Jalan Dan Jembatan
u96t8An,POLNEP,D-4,ARSITEKTUR,Arsitektur Bangunan Gedung,D4 - Arsitektur Bangunan Gedung
R3BLZgZ,POLNEP,D-4,ARSITEKTUR,Desain Kawasan Binaan,D4 - Desain Kawasan Binaan
wIiHMP7,POLNEP,D-4,TEKNIK SIPIL,Perencanaan Perumahan Dan Pemukiman,D4 - Perencanaan Perumahan Dan Pemukiman
ei4CEEY,POLNEP,D-4,TEKNIK MESIN,Teknik Mesin,D4 - Teknik Mesin
Ic1LySL,POLNEP,D-4,TEKNIK ELEKTRO,Teknologi Rekayasa Sistem Elektronika,D4 - Teknologi Rekayasa Sistem Elektronika
K8adHCg,POLNEP,D-3,ILMU KELAUTAN DAN PERIKANAN,Teknologi Pengolahan Hasil Perikanan,D3 - Teknologi Pengolahan Hasil Perikanan
5LCGZx8,POLNEP,D-3,ILMU KELAUTAN DAN PERIKANAN,Teknologi Budidaya Perikanan,D3 - Teknologi Budidaya Perikanan
cgUaIFy,POLNEP,D-3,ILMU KELAUTAN DAN PERIKANAN,Teknologi Penangkapan Ikan,D3 - Teknologi Penangkapan Ikan
jmMIZj3,POLNEP,D-3,TEKNOLOGI PERTANIAN,Teknologi Pengolahan Hasil Perkebunan,D3 - Teknologi Pengolahan Hasil Perkebunan
0D5hlUt,POLNEP,D-4,TEKNOLOGI PERTANIAN,Pengolahan Hasil Perkebunan Terpadu,D4 - Pengolahan Hasil Perkebunan Terpadu
oBgItUo,POLNEP,D-4,TEKNOLOGI PERTANIAN,Budidaya Tanaman Perkebunan,D4 - Budidaya Tanaman Perkebunan
umcM4Ms,POLNEP,D-4,ILMU KELAUTAN DAN PERIKANAN,Pengolahan dan Penyimpanan Hasil Perikanan ,D4 - Pengolahan dan Penyimpanan Hasil Perikanan 
JxL6yz4,POLNEP,D-4,TEKNOLOGI PERTANIAN,Manajemen Perkebunan,D4 - Manajemen Perkebunan
pJZdbG9,POLNEP,D-3,ADMINISTRASI BISNIS,Administrasi Bisnis,D3 - Administrasi Bisnis
SYMbedl,POLNEP,D-4,ADMINISTRASI BISNIS,Pengelolaan Usaha Rekreasi,D4 - Pengelolaan Usaha Rekreasi
