id,ref_pengajuan_kerjasama,ref_mou,nomor_dokumen,tanggal_penetapan,tanggal_mulai,tanggal_berakhir,link_dokumen,ref_penandatangan,status_laporkerma,ruang_lingkup,deskripsi,non_dok_pejabat,jabatan_penandatangan,alokasi_anggaran,income_generate,unit_terkait,program,kelengkapan_data,ref_kegiatan
c17c22e8,0857f568,,2438/PL16/KL/2012,07/31/2012,07/31/2012,07/30/2017,https://drive.google.com/file/d/1dfnzePs7wErXDka0xVTw0yLkJ9UfzZAH/view?usp=sharing,,,,,,,,,,,,
0fb4e754,8f3a6a08,,1376/PL16/KB/2016,05/19/2016,05/19/2016,05/18/2021,https://drive.google.com/file/d/1drSzrP3VoFKaRoq-JpKPFfsqZMNV8R3p/view?usp=sharing,,,,,,,,,,,,
b9a8a616,908f0bf8,,927/PL16/KB/2014,11/26/2014,11/26/2014,11/25/2019,https://drive.google.com/file/d/1dPks5cl1xFyhcYWEmyhKKrRySd82K6qJ/view?usp=sharing,,,,,,,,,,,,
6d2696bc,368d8046,,926/PL16/KB/2014,11/26/2014,11/26/2014,11/25/2019,https://drive.google.com/file/d/1dt_lFy0rsSQO78cK8HpIeD1fMr-kXOeg/view?usp=sharing,,,,,,,,,,,,
758d532c,98b2d8b1,,161/PL16/KB/2014,03/12/2014,03/12/2014,03/11/2019,https://drive.google.com/file/d/1dpLpG5vQOX20I_WYZlhLWN8p5A1lZzzq/view?usp=sharing,,,,,,,,,,,,
681bed4a,957d8fff,,406/PL16/KB/2014,06/19/2014,06/19/2014,06/18/2019,https://drive.google.com/file/d/1dtRWwXweHleyJQ8ecbhrbjINwpvNvNvK/view?usp=sharing,,,,,,,,,,,,
7e643dbd,8c784806,,306/PL16/KB/2015,04/07/2015,04/07/2015,04/05/2020,https://drive.google.com/file/d/1dmn0fREcCA_N-guicMlIxxeQynfmzoI9/view?usp=sharing,,,,,,,,,,,,
3a9895fc,4690f571,,0287/PL16/KB/2016,01/29/2016,01/29/2016,01/27/2021,https://drive.google.com/file/d/1dSHz9keThJxAX4Ud5HZxzrx0uV0JiQJ6/view?usp=drive_link,,,,,,,,,,,,
f434b3ba,6df4e8fb,,0286/PL16/KB/2016,01/29/2016,01/29/2016,01/27/2021,https://drive.google.com/file/d/1dQAi4Mp5FH0SLV5PSJj5dVZTnJ5VPm2C/view?usp=sharing,,,,,,,,,,,,
b3240ccc,ceb28dda,,,06/06/2016,06/06/2016,,https://drive.google.com/file/d/1dnLKIM_r5d6SpT-a6dPfVxpnZzE6RVdq/view?usp=sharing,,,,,,,,,,,,
fda93acd,9a07f003,,,12/12/2012,12/12/2012,,https://drive.google.com/file/d/1d_EXVhIHp4jooP8TX_ajJ0tHxKPWL7sa/view?usp=sharing,,,,,,,,,,,,
f73158c4,3ae6cdb7,,,06/23/2015,06/23/2015,06/21/2020,https://drive.google.com/file/d/1dsjk5qvW7L6e6xZiKZDWj8bTheUmAY53/view?usp=sharing,,,,,,,,,,,,
26294701,3a0b2f1a,,,06/11/2014,06/11/2014,06/10/2019,https://drive.google.com/file/d/1doHgwwNFP1cdQkd3MSS9xGOJk8N7f4Dm/view?usp=sharing,,,,,,,,,,,,
60ee95c2,db7b8591,,,11/26/2015,11/26/2015,11/24/2020,https://drive.google.com/file/d/1dmr2x8ayuoKmWDTUsofVk9DR96o6H5gw/view?usp=sharing,,,,,,,,,,,,
177a1ac5,e18498df,,,10/12/2015,10/12/2015,10/10/2020,https://drive.google.com/drive/folders/1w7tNoe43XR2zJfyS3FsxdExbCE7boEOS?usp=drive_link,,,,,,,,,,,,
add79dfa,f24e69b2,,,06/25/2011,06/25/2011,,https://drive.google.com/file/d/1dsk2okVFsT25ij1UOiKRK_Q8waYv_Foi/view?usp=sharing,,,,,,,,,,,,
7ebae719,069a9e60,,,02/04/2014,02/04/2014,02/03/2018,https://drive.google.com/file/d/1dtTtXzVw7kkfVxy2WhK12gr_029KlI6N/view?usp=sharing,,,,,,,,,,,,
116eb0a6,4e08cdd6,,,07/01/2013,07/01/2013,06/30/2016,https://drive.google.com/file/d/1dswEflqREIxjE6u6M5_3gacAXfv19IMx/view?usp=sharing,,,,,,,,,,,,
2071d4d7,75d06338,,,05/29/2012,05/29/2012,05/28/2017,https://drive.google.com/file/d/1dS_LD68n4QRzJj_8QZGS4Wc254ErbEui/view?usp=sharing,,,,,,,,,,,,
cbe621eb,2831caca,,,09/16/2016,09/16/2016,09/15/2021,https://drive.google.com/file/d/1dQKn3gd2rkwyUJSNe8mp-OsvY_NKWlp8/view?usp=sharing,,,,,,,,,,,,
74fc6b9d,97197fab,,,07/30/2016,07/30/2016,,https://drive.google.com/file/d/1dZfvNiljcoKWV7pS5Up25Qgvh_KsrL7n/view?usp=sharing,,,,,,,,,,,,
3b8b702a,38062a12,,,12/12/2012,12/12/2012,,https://drive.google.com/file/d/1db4ecCbx4N0P2J9-80055EWiw4sEck3n/view?usp=sharing,,,,,,,,,,,,
56336114,e027f5d8,,,05/04/2011,05/04/2011,05/03/2013,https://drive.google.com/file/d/1donA9bRvIPStArnoW0aD3rcdN1mys49s/view?usp=sharing,,,,,,,,,,,,
75ce743a,0a655a60,,01/PL16/KS/2016,02/17/2016,02/17/2016,02/16/2019,https://drive.google.com/file/d/1d5Vxo2o1YDiymcV_QEgB9qQfNbdJKqQt/view?usp=sharing,,,,,,,,,,,,
feb7fd30,05f1396b,,008/PL16/KB/2014,01/09/2014,01/09/2014,,https://drive.google.com/file/d/1cfNzs4nNBGQWhASp7UEK0zU9XJnfoNuf/view?usp=sharing,,,,,,,,,,,,
3c76ca90,037cc68b,,036/PL16/KB/2015,01/20/2015,01/20/2015,01/20/2016,https://drive.google.com/file/d/1dOKElCuMbceRAR8LpF8ammt78kJ3JtRh/view?usp=sharing,,,,,,,,,,,,
720b4018,3e8521c1,,040/PL16/KB/2013,10/01/2013,10/01/2013,,https://drive.google.com/file/d/1dMpM1u2KGCwkfGzAj6ceaUZkj7EBF54E/view?usp=sharing,,,,,,,,,,,,
bc577115,e7436e1e,,431/PL16/KB/2013,12/19/2013,12/19/2013,12/18/2018,https://drive.google.com/file/d/1d0XQi6-uyMTpOVMLXGs4TZjkgX4-3gMD/view?usp=sharing,,,,,,,,,,,,
6dbd5ae8,9dca5a37,,058/PL16/KB/2013,10/04/2013,10/04/2013,10/03/2018,https://drive.google.com/file/d/1d1oIDkUa-OufcoFtly3xUh52r35me6ou/view?usp=sharing,,,,,,,,,,,,
8810c4c7,0f1c6cc2,,173/PL16/KB/2014,03/18/2014,03/18/2014,03/18/2015,https://drive.google.com/file/d/1d4bIA-BqIybFMeeZhMCzd401D8RMpq46/view?usp=sharing,,,,,,,,,,,,
612311da,16d3a8e6,,265/PL16/KB/2013,11/13/2013,11/13/2013,11/12/2018,https://drive.google.com/file/d/1cZmXdHH9RT_8I0C1IAdUl-D9c5pSCbbZ/view?usp=sharing,,,,,,,,,,,,
e5bdbad0,607a5d2a,,269/PL16/KB/2014,05/02/2014,05/02/2014,05/01/2019,https://drive.google.com/file/d/1cuZuGm2fbWvAueJwq9x-KBHEu8qoU8m_/view?usp=sharing,,,,,,,,,,,,
4570fe05,32dec155,,270/PL16/KB/2014,04/02/2014,04/02/2014,04/01/2019,https://drive.google.com/file/d/1cX3lZEwJcajJowLpEGmGCxwXQ5eIZ6zM/view?usp=sharing,,,,,,,,,,,,
a87b74ac,6c8874c1,,305/PL16/KB/2014,05/16/2014,05/16/2014,05/15/2019,https://drive.google.com/file/d/1d-A2QCsfUhDWMZ956ugbB5LIDv0eV9Po/view?usp=sharing,,,,,,,,,,,,
36b23e2d,2674428b,,310.A/PL16/KB/2014,05/16/2014,05/16/2014,05/15/2019,https://drive.google.com/file/d/1d0LEk4gRsniITmXQ-JbSl9cGYsFqf0Ib/view?usp=sharing,,,,,,,,,,,,
3f18ae2a,89ad8c3c,,375/PL16/KB/2014,06/10/2014,06/10/2014,06/09/2019,https://drive.google.com/file/d/1cUJezb783fg6mTm3PPdvuxQa9qUbHbVG/view?usp=sharing,,,,,,,,,,,,
2b25f903,52a508c6,,425/PL16/KB/2013,12/19/2013,12/19/2013,12/18/2018,https://drive.google.com/file/d/1d6bQxMsh7cGnkBzZaEhHwbBD2B_YBehi/view?usp=sharing,,,,,,,,,,,,
3edfc932,1b67448d,,426/PL16/KB/2013,12/19/2013,12/19/2013,12/18/2018,https://drive.google.com/file/d/1d0CLAKtkJdrwkAc3vxQXJ_1B6S2CsFz5/view?usp=sharing,,,,,,,,,,,,
ea7b14ce,3c4d433e,,426/PL16/KB/2015,05/08/2015,05/08/2015,05/06/2020,https://drive.google.com/file/d/1cwTCsgV7KAJSmfuDbfGsLQiAGl9MWvID/view?usp=sharing,,,,,,,,,,,,
242892cf,7cbeb70a,,427/PL16/KB/2013,12/19/2013,12/19/2013,12/18/2018,https://drive.google.com/file/d/1dMBZCiPv-_hDX-egBHZr4ET6z2E3zT5C/view?usp=sharing,,,,,,,,,,,,
da591411,060ada57,,428/PL16/KB/2013,12/19/2013,12/19/2013,12/18/2018,https://drive.google.com/file/d/1d6X8ILPKPsYhMdoMrYv7V7TsoEaGPcTS/view?usp=sharing,,,,,,,,,,,,
0906bd43,37d83a5a,,429/PL16/KB/2013,12/19/2013,12/19/2013,12/18/2018,https://drive.google.com/file/d/1cRaxU66ubTjonNoPHwa_xTInITmCAXsu/view?usp=sharing,,,,,,,,,,,,
dbbe5b5e,05275f79,,430/PL16/KB/2013,12/19/2013,12/19/2013,12/18/2018,https://drive.google.com/file/d/1cunhH_hFqSvv_Jj1mHbfeSk6aRW9Y3Z2/view?usp=sharing,,,,,,,,,,,,
6319ff7b,5c1899b3,,431/PL16/KB/2015,05/11/2015,05/11/2015,05/09/2020,https://drive.google.com/file/d/1d0hoUCvq9EHwlfd5fggbM0Ww3FiM1-SV/view?usp=sharing,,,,,,,,,,,,
209c1225,28da42aa,,441/PL16/KB/2015,05/15/2015,05/15/2015,05/13/2020,https://drive.google.com/file/d/1d48V5GW0nXpirw5ypg7M6b90mzQFZb6Q/view?usp=sharing,,,,,,,,,,,,
b5138d3c,2ee7af0c,,500/PL16/KB/2015,06/03/2015,06/03/2015,,https://drive.google.com/file/d/1dK6BKMU--1eElRP_f8KtSopwIR9EsX6K/view?usp=sharing,,,,,,,,,,,,
6c9f7132,49f4878e,,546/PL16/KB/2015,06/16/2015,06/16/2015,06/15/2018,https://drive.google.com/file/d/1d5Qjcq5TLTm0luhTJOgWZaXiQkfTiZJL/view?usp=sharing,,,,,,,,,,,,
f392df50,6951afa5,,586/PL16/KB/2014,08/25/2014,08/25/2014,08/24/2017,https://drive.google.com/file/d/1cUsj_-4c148wGYEDSvoH7QTgu6di0dQJ/view?usp=sharing,,,,,,,,,,,,
6cf849b9,7d1add9b,,0640/PL16/KB/2014,09/09/2014,09/09/2014,09/08/2017,https://drive.google.com/file/d/1cki0sPv-8mBiL7h5v4lk5N3SvdRuBJjb/view?usp=sharing,,,,,,,,,,,,
