id,tanggal_pengajuan,sifat_pengajuan,wilayah_kerjasama,jenis_dokumen,judul_dokumen,tentang,durasi_perjanjian,satuan_durasi_perjanjian,inisiator,inisiasi_lembaga,inisiasi_program,status_pengajuan,inisiasi,keterangan,sub_status,unit_polnep
0857f568,07/31/2012,BARU,NASIONAL,MOU,NOTA KESEPAHAMAN,"Pengembangan Infrastruktur Tahan Gempa dalam Hal: Penelitian, Sumber Daya Manusia, Desain, Industri, Pelaksanaan Konstruksi",5,TAHUN,,,,,,,,
8f3a6a08,05/19/2016,BARU,NASIONAL,MOU,NOTA KESEPAKATAN BERSAMA,"Kerja Sama dalam Bidang Pendidikan, Penelitian, dan Pengabdian kepada Masyarakat serta Peningkatan Kualitas SDM",5,TAHUN,,,,,,,,
908f0bf8,11/26/2014,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Kerja Sama Pelaksanaan Tri Dharma Perguruan Tinggi,5,TAHUN,,,,,,,,
368d8046,11/26/2014,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Kerja Sama Pelaksanaan Tri Dharma Perguruan Tinggi,5,TAHUN,,,,,,,,
98b2d8b1,03/12/2014,BARU,NASIONAL,MOU,NASKAH KESEPAKATAN BERSAMA,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,5,TAHUN,,,,,,,,
957d8fff,06/19/2014,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,5,TAHUN,,,,,,,,
8c784806,04/07/2015,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,5,TAHUN,,,,,,,,
4690f571,01/29/2016,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,5,TAHUN,,,,,,,,
6df4e8fb,01/29/2016,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,5,TAHUN,,,,,,,,
ceb28dda,06/06/2016,BARU,NASIONAL,MOU,MOU,"The parties agree to promote and develop co-operation in specified fields of science, technology, health, and humanition.",0,,,,,,,,,
9a07f003,12/12/2012,BARU,INTERNASIONAL,PKS,MOA,"The provisions of this agreement offer a framework within which to develop details of a faculty, staff and student exchange program and to seek donor agency support for jointly developed projects between the IJniversity of Hawai'i at Kapi'olani Community College, Honolulu, HI, USA and Pontianak State Polytechnic, Indonesia.",0,,,,,,,,,
3ae6cdb7,06/23/2015,BARU,INTERNASIONAL,MOU,MOU,Academic and Research Cooperation,5,TAHUN,,,,,,,,
3a0b2f1a,06/11/2014,BARU,INTERNASIONAL,MOU,MOU,"To improve the level of scientific inquiry and instruction offered at both institutions, as well as to promote and strengthen the bonds of friendship and mutual understanding between the two institutions in particular and the populations of their respective countries in general.",5,TAHUN,,,,FINISHED,,,"Dokumen di Pihak Mitra , Dokumen di Pihak Polnep , Sudah di TTD Mitra , Sudah di TTD Polnep",
db7b8591,11/26/2015,BARU,INTERNASIONAL,PKS,MOA,To make possible and govern the internship program between Polnep and UVHC-IUT based upon principles of mutual equality and the reciprocity of benefits.,5,TAHUN,,,,FINISHED,,,"Dokumen di Pihak Mitra , Dokumen di Pihak Polnep , Sudah di TTD Mitra , Sudah di TTD Polnep",
e18498df,10/12/2015,BARU,INTERNASIONAL,MOU,NOTA KESEPAHAMAN,Kerja Sama di Bidang Akademik dan Penelitian,5,TAHUN,,,,,,,,
f24e69b2,06/25/2011,BARU,NASIONAL,MOU,MOU,Kesepahaman dalam Bidang Pendidikan dan Pelatihan Budidaya Perikanan bagi Mahasiswa Politeknik Negeri Pontianak,0,,,,,,,,,
069a9e60,02/04/2014,BARU,NASIONAL,MOU,MOU,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,4,TAHUN,,,,,,,,
4e08cdd6,07/01/2013,BARU,NASIONAL,MOU,MOU,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,3,TAHUN,,,,,,,,
75d06338,05/29/2012,BARU,INTERNASIONAL,MOU,MOU,Academic and Research Cooperation,5,TAHUN,,,,,,,,
2831caca,09/16/2016,BARU,INTERNASIONAL,MOU,MEETING ON ACADEMIC AND RESEARCH COOPERATION,Agreed Minutes,5,TAHUN,,,,,,,,
97197fab,07/30/2016,BARU,INTERNASIONAL,PKS,MOA,"Faculty, Staff, and Student Exchange and Collaboration Project Development",0,,,,,,,,,
38062a12,12/12/2012,BARU,INTERNASIONAL,PKS,MOA,"Faculty, Staff, and Student Exchange and Collaboration Project Development",0,,,,,,,,,
e027f5d8,05/04/2011,BARU,INTERNASIONAL,PKS,LETTER OF COOPERATION,To foster academic partnership and cooperation,2,TAHUN,,,,,,,,
0a655a60,02/17/2016,BARU,NASIONAL,PKS,PERJANJIAN KERJA SAMA,Penyelenggaraan Program Peningkatan Kompetensi Peserta Didik Politeknik Bidang Konstruksi,3,TAHUN,,,,,,,,
05f1396b,01/09/2014,BARU,NASIONAL,MOU,MOU,Penggunaan Tempat Uji Kompetensi (TUK) Tenaga Kerja Konstruksi,0,,,,,,,,,
037cc68b,01/20/2015,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,1,TAHUN,,,,,,,,
3e8521c1,10/01/2013,BARU,NASIONAL,MOU,MOU,Peningkatan Sumber Daya Manusia Kota Singkawang,0,,,,,,,,,
e7436e1e,12/19/2013,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Penyelenggaraan Program Studi di Luar Domisili (PDD) di Kota Singkawang,5,TAHUN,,,,,,,,
9dca5a37,10/04/2013,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,5,TAHUN,,,,,,,,
0f1c6cc2,03/18/2014,BARU,NASIONAL,MOU,PERJANJIAN KERJA SAMA,Bantuan Hukum di Bidang Perdata dan Tata Usaha Negara,1,TAHUN,,,,,,,,
16d3a8e6,11/13/2013,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,5,TAHUN,,,,,,,,
607a5d2a,05/02/2014,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,5,TAHUN,,,,,,,,
32dec155,04/02/2014,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,5,TAHUN,,,,,,,,
6c8874c1,05/16/2014,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Penyelenggaraan Program Studi di Luar Domisili (PDD) di Kota Singkawang,5,TAHUN,,,,,,,,
2674428b,05/16/2014,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Penyelenggaraan Program Studi di Luar Domisili,5,TAHUN,,,,,,,,
4a0cbe33,12/01/2016,PERPANJANGAN,#N/A,PKS,PERPANJANGAN KE EMPAT ATAS PERJANJIAN KERJA SAMA,Penyelenggaraan Ujian Sertifikasi Keagenan Asuransi Jiwa dan/atau Bancassurance Metode Elektronik (Ujian Online),1,TAHUN,,,,,,,,
89ad8c3c,06/10/2014,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,5,TAHUN,,,,,,,,
52a508c6,12/19/2013,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Penyelenggaraan Program Studi di Luar Domisili (PDD) di Kota Singkawang,5,TAHUN,,,,,,,,
1b67448d,12/19/2013,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Penyelenggaraan Program Studi di Luar Domisili (PDD) di Kota Singkawang,5,TAHUN,,,,,,,,
3c4d433e,05/08/2015,BARU,NASIONAL,MOU,KESEPAKATAN BERSAMA,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,5,TAHUN,,,,,,,,
