id,ruang_lingkup,sub_ruang_lingkup,kategori_ruang_lingkup,keterangan
ed94ed82,Pelaksanaan penilaian terhadap rencana dan laporan kinerja dosen (asesmen BKD),,,
83c7765e,Pengabdian kepada Masyarakat,,,
bef14655,Sinkronisasi dan penyelarasan kurikulum berbasis industri pada bidang automotive,,,
cf325d88,Pendalaman untuk capaian Rekognisi Pembelajaran Lampau (RPL),,,
5ef61bb3,Kesempatan studi lanjut bagi siswa,,,
9cd4d7ef,Peningkatan uji kompetensi siswa,,,
fa9a9d94,Keterlibatan sumber daya manusia dalam proses kegiatan belajar mengajar,,,
ffd5ff6f,Peningkatan keterampilan (Up Skilling) bagi para instruktur dan pengajar,,,
f90a12d8,Kerja sama dalam mensosialisasikan program diploma dua jalur cepat (Program Diploma Dual Fast Track),,,
2d50eb94,Pertukaran Mahasiswa Internasional,,,
b2eccc8b,"Penyelenggaraan ""2025 INTACT Base Taiwan Seminar"" di Politeknik Negeri Pontianak",,,
c6831010,Pemberian Kuota Mahasiswa Penerima Beasiswa pada INTENSE Program Scholarship pada Taiwan's University,,,
a1cac19a,Promosi Program Beasiswa INTENSE Program pada Perguruan Tinggi di Kalimantan,,,
502db7a3,Melaksanakan pengabdian kepada masyarakat dan publikasi kolaborasi,,,
9c4f6507,Melaksanakan penelitian dan publikasi kolaborasi terkait: bidang molekuler dan sumber daya alam atau bioprospeksi,,,
1bda7124,Kuliah dari pakar mata kuliah tertentu yang berkaitan antara kedua belah pihak,,,
0502cca8,Magang dan praktikum di laboratorium untuk mendukung kegiatan perkuliahan,,,
edde8a89,Kunjungan laboratorium untuk mendukung kegiatan perkuliahan,,,
653a6617,Publikasi dan diseminasi informasi,,,
024f9fd1,Berbagi pakai data dan informasi,,,
91620d6d,Pemanfaatan bersama sarana dan prasarana,,,
0faf874e,Pengabdian kepada Masyarakat,,,
058c73aa,Pengkajian pengelolaan kawasan konservasi dan perlindungan biota perairan yang dilindungi dan/atau terancam punah,,,
26992c5a,Peningkatan kapasitas sumber daya manusia,,,
d93428a8,Pelaksanaan penilaian terhadap rencana dan laporan kinerja dosen (asesmen BKD),,,
e27d0ad8,Perjanjian Kerja Sama ini merupakan Implementasi Tri Dharma Perguruan Tinggi pada Program Pengabdian Pada Masyarakat bagi Dosen dan Mahasiswa yang melibatkan Mitra Dunia Usaha dan Dunia Industri.,,,
3075a2cc,Penyewaan Gedung Aula Polnep,,,
ef1a3dad,Kerja sama dalam pendanaan program katalisator kemitraan berdikari.,,,
5114b70a,Program Dual Degree,,,
c831b4f5,Penyewaan Gedung Aula Polnep,,,
a545fe41,Diklat Sertifikasi,,,
779bfc0b,Ujian Sertifikasi,,,
c9d7c547,Pengabdian kepada Masyarakat,,,
66d3c345,Pengabdian kepada Masyarakat,,,
a026a811,Penyediaan sarana dan prasarana dalam pelaksanaan kegiatan sesuai kesepakatan dan peran masing-masing,,,
f2d34066,Penyediaan tenaga ahli dan mahasiswa untum membantu dan melaksanakan kegiatan pemasaran digital produk pertanian mitra,,,
43235309,Penyediaan tenaga ahli oleh mitra untuk membantu dalam meningkatkan pengetahuan mahasiswa,,,
7ce0dadf,Penyediaan tenaga ahli dan mahasiswa untuk membantu dan melaksanakan kegiatan pemasaran digital produk pertanian,,,
ce2b769d,"Rekrutmen alumni dari Program Studi di PDD Politeknik Negeri Pontianak di Kabupaten Kapuas Hulu meliputi Program Studi D3 Teknologi Budidaya Perikanan, D3 Teknik sipil, dan D3 Teknologi Pengolahan Hasil Perkebunan",,,
511ddcf1,Pengabdian kepada Masyarakat,,,
fb877e15,Pengabdian kepada Masyarakat,,,
050c7e9b,Sewa Tanah dan/atau Bangunan untuk Kantor Kas dan ATM BRI,,,
1b579732,Pengembangan ilmu pengetahuan dan teknologi dan pengabdian masyarakat di bidang perikanan budidaya air payau,,,
72aed93a,"Pelatihan, workshop, seminar, magang/praktik kerja lapangan mahasiswa dalam mendukung program Merdeka Belajar Kampus Merdeka",,,
db7baf53,Uji sertifikasi kompetensi bidang perikanan budidaya bagi dosen dan mahasiswa,,,
50e3515e,Pengabdian kepada Masyarakat,,,
9639f7a5,"Dosen Tamu pada International Community Engagement and Teacher Mobility di Politeknik Metro Betong Sarawak, Malaysia",,,
9a0bb065,Pengabdian kepada Masyarakat,,,
a55ed2fe,Pengabdian kepada Masyarakat,,,
94d0b243,Pengabdian kepada Masyarakat,,,
31964543,Diklat Kompetensi,,,
67f663d0,Pembukaan Tabungan OCTO Savers Jr (Konvensional/iB) dan/atau Tabungan OCTO Savers (Konvensional/iB),,,
4db57450,Pengabdian kepada Masyarakat,,,
0d416aa7,Riset Terapan,,,
398ad29a,Pengabdian kepada Masyarakat,,,
ce0ab551,Riset Terapan,,,
26b2a75a,Riset Terapan,,,
60749c38,Riset Terapan,,,
66c0d8a1,Sosialisasi,,,
1f2c9433,Pendampingan Sarana dan Prasarana Desa,,,
cb48decb,Pendampingan Sarana dan Prasarana Fasilitas Umum,,,
35e93f4f,Sosialisasi,,,
255b99d9,Pelatihan,,,
47cd03ff,Riset Terapan,,,
d2e919b2,Riset Terapan,,,
a6c2a209,Kelas Kerja Sama antar Perguruan Tinggi,,,
03d6b43a,Pelatihan,,,
6d8ac9a2,Pengabdian kepada Masyarakat,,,
592222f8,Pengabdian kepada Masyarakat,,,
f652c6d9,Sosialiasi,,,
1120c862,Riset Terapan,,,
8f393a6a,Pengabdian kepada Masyarakat,,,
ab3b52c4,Riset Terapan,,,
6a574711,Pengabdian kepada Masyarakat,,,
e61785b2,Pendampingan Sekolah,,,
734c01d3,Pengabdian kepada Masyarakat,,,
4339ee81,Pendampingan Sarana dan Prasarana Fasilitas Umum,,,
77473a53,Pengabdian kepada Masyarakat,,,
d085910e,Pengabdian kepada Masyarakat,,,
7c204660,Pelatihan,,,
0003a012,Pelatihan,,,
78fd540e,Pengabdian kepada Masyarakat,,,
28c4a3ea,Pendampingan Perusahaan Daerah,,,
5c98bc32,Pengabdian kepada Masyarakat,,,
04907d1b,Pelatihan,,,
85a27636,Uji Sertifikasi Kompetensi,,,
eee5d3c5,Pelaksanaan penilaian terhadap rencana dan laporan kinerja dosen (asesmen BKD),,,
413b648f,Riset Terapan,,,
0bdda645,Pengabdian kepada Masyarakat,,,
f99991ad,Pelatihan,,,
c94641d5,Pengabdian kepada Masyarakat,,,
376ec1d6,Pengabdian kepada Masyarakat,,,
d55f029d,Riset Terapan,,,
02e1c4ea,Pengabdian kepada Masyarakat,,,
25ac5f23,Riset Terapan,,,
416e830c,Penelitian untuk pengembangan produk turunan dari salak hutan,,,
c73b1e32,Penyelenggaraan kegiatan uji pada produk turunan salak hutan,,,
7052fb9e,Pengembangan produk turunan dari salak hutan,,,
5581ea20,"Pengembangan teknologi tepat guna yang ramah lingkungan, ramah sosial dan aplikatif oleh masyarakat",,,
adb30136,Pendampingan Sarana dan Prasarana Desa,,,
de204cb8,Pengabdian kepada Masyarakat,,,
efc8d46f,Riset Terapan,,,
da8d815c,Pengabdian kepada Masyarakat,,,
af7a647e,Pendampingan Instansi Pemerintah,,,
2419b04a,Pengabdian kepada Masyarakat,,,
badcb5b4,Riset Terapan,,,
1a0617d4,,,,
79e6fb4b,Pelatihan,,,
4c3f5156,Pengabdian kepada Masyarakat,,,
a99931b8,Pengabdian kepada Masyarakat,,,
9df9f009,Pelatihan,,,
e0be420d,Riset Terapan,,,
b1b05f4b,Pengabdian kepada Masyarakat,,,
c1bd67e0,Pengabdian kepada Masyarakat,,,
3878ded6,Pendampingan Desa,,,
757015cb,Pendampingan Masyarkat Kota,,,
c0d6ce93,Pendampingan UMKM Desa,,,
6ac1578c,Pendampingan UMKM Desa,,,
9b5c3c08,Pendampingan Pendidikan Tinggi,,,
c52069b1,Pendampingan Petani/Nelayan Desa,,,
c578b002,Pendampingan Sektor Wisata,,,
fa7787af,Pendampingan Sektor Wisata,,,
afef4014,Pendampingan UMKM Desa,,,
5c420750,Pendampingan UMKM,,,
fe263dfa,Pendampingan UMKM Desa,,,
4ba0f253,Pendampingan Sekolah,,,
fb189fc6,Pendampingan Petani/Nelayan Desa,,,
ca467c15,Pendampingan UMKM Desa,,,
03c34057,Pendampingan Sekolah,,,
336dce66,Pendampingan Petani/Nelayan Desa,,,
080b22ad,Pendampingan UMKM Desa,,,
fd133a0f,Pendampingan Sekolah,,,
c6188e9b,Pendampingan Sarana dan Prasarana Desa,,,
eac2167b,Pendampingan Petani/Nelayan Kota,,,
91e76b88,Pendampingan Sektor Wisata,,,
af6e4a7e,Pendampingan UMKM,,,
3926d054,Pengabdian kepada Masyarakat,,,
e2bb8474,Pelatihan,,,
0fdc80db,Pendampingan UMKM,,,
07f6d01d,Pendampingan UMKM Desa,,,
7b9ce201,Pengabdian kepada Masyarakat,,,
5f0d2c90,Pendampingan UMKM Desa,,,
08270f39,Pelatihan,,,
2a55c783,Pengabdian kepada Masyarakat,,,
23fb359a,Pendampingan Sarana dan Prasarana Fasilitas Umum,,,
82adc2b2,Pengabdian kepada Masyarakat,,,
cb1d2b9c,Penyelenggaraan Program pascasarjana (PhD) berbasis riset yang ditawarkan oleh UNIMAS,,,
