id,kategori_unit_pelaksana,kampus,jurusan,prodi,rektorat,ref_pic,jabatan_pic
8294d7e7,PRODI,POLNEP,TEKNIK MESIN,D3 - Teknik Mesin,,,
75476167,PRODI,POLNEP,AKUNTANSI,D4 - Akuntansi,,7d5864d1,Dosen
35d622be,PRODI,POLNEP,TEKNIK MESIN,D4 - Teknik Mesin,,a01bd5f8,Dosen
20841bf0,,POLNEP,TEKNIK ELEKTRO,D3 - Teknik Informatika,,,
99683f48,PRODI,POLNEP,ILMU KELAUTAN DAN PERIKANAN,D3 - Teknologi Budidaya Perikanan,,,
56e3356e,PRODI,POLNEP,TEKNIK ELEKTRO,D3 - Teknik Informatika,,64590a64,Koordinator
283fabac,REKTORAT,POLNEP,,,Kantor Urusan Internasional,,
22944a9e,PRODI,POLNEP,TEKNOLOGI PERTANIAN,D4 - Manajemen Perkebunan,,bed249c3,Dosen
f42c916e,REKTORAT,POLNEP,,,PPMPP,6e8bb094,Koordinator
aa7d6963,PRODI,POLNEP,ILMU KELAUTAN DAN PERIKANAN,D3 - Teknologi Budidaya Perikanan,,4c2c76f6,Dosen
a57f609a,PRODI,POLNEP,AKUNTANSI,D3 - Akuntansi,,5dd05cd7,Dosen
0b6f1318,REKTORAT,POLNEP,,,KERUMAHTANGGAAN DAN PENGELOLAAN BARANG MILIK NEGARA,612c0771,Koordinator
1d277e1b,JURUSAN,POLNEP,TEKNOLOGI PERTANIAN,,,0b82aca0,Dosen
8d9896c5,JURUSAN,POLNEP,ILMU KELAUTAN DAN PERIKANAN,,,b1f7427e,Dosen
02b33c68,JURUSAN,POLNEP,ILMU KELAUTAN DAN PERIKANAN,,,5ec23ce6,Dosen
a231c7a2,JURUSAN,POLNEP,TEKNOLOGI PERTANIAN,,,28960cc5,Dosen
8ee6eea0,JURUSAN,POLNEP,ILMU KELAUTAN DAN PERIKANAN,,,12b0c39f,Dosen
16f984cb,JURUSAN,POLNEP,TEKNIK MESIN,,,b0a28bf8,Dosen
2fc9de29,REKTORAT,POLNEP,,,KERUMAHTANGGAAN DAN PENGELOLAAN BARANG MILIK NEGARA,612c0771,Koordinator
38d62aaa,PRODI,POLNEP,ARSITEKTUR,D3 - Arsitektur,,62ce5d60,Dosen
52f7e8cb,PRODI,POLNEP,ARSITEKTUR,D4 - Arsitektur Bangunan Gedung,,f0e20f1f,Dosen
5d3d8320,REKTORAT,PDD KAPUAS HULU,,,"UNIT LAYANAN KERJA SAMA, HUBUNGAN MASYARAKAT, KEMAHASISWAAN DAN ALUMNI",a0459bc9,Koordinator
1b275e0f,PRODI,POLNEP,TEKNIK MESIN,D2 - Pemeliharaan Kendaraan Ringan,,f94e01bf,Dosen
aee078c4,PRODI,POLNEP,ARSITEKTUR,D3 - Arsitektur,,67942012,Dosen
f293ae7b,REKTORAT,POLNEP,,,REKTORAT,f94e01bf,Wakil Direktur bidang Kerja Sama
cdb976bc,PRODI,POLNEP,TEKNIK SIPIL,D3 - Teknik Sipil,,b29c7021,Dosen
1ab376a7,PRODI,POLNEP,ARSITEKTUR,D4 - Arsitektur Bangunan Gedung,,ccf4bca5,Dosen
aba83e1c,PRODI,POLNEP,TEKNIK SIPIL,D3 - Teknik Sipil,,cbb84b30,Dosen
49475df2,PRODI,POLNEP,ILMU KELAUTAN DAN PERIKANAN,D4 - Pengolahan dan Penyimpanan Hasil Perikanan,,b78a1bd1,Dosen
815c5d77,PRODI,POLNEP,TEKNIK MESIN,D3 - Teknik Mesin,,9aa20500,Dosen
f3ee233d,PRODI,POLNEP,TEKNIK MESIN,D2 - Pemeliharaan Kendaraan Ringan,,f94e01bf,Dosen
ce661ffa,REKTORAT,POLNEP,,,REKTORAT,,
8249ee28,PRODI,POLNEP,TEKNIK ELEKTRO,D3 - Teknik Informatika,,9d4e22e6,Dosen
c2c0d4ea,PRODI,POLNEP,ILMU KELAUTAN DAN PERIKANAN,D3 - Teknologi Penangkapan Ikan,,32ec3961,Dosen
d6a80acf,PRODI,POLNEP,ILMU KELAUTAN DAN PERIKANAN,D3 - Teknologi Budidaya Perikanan,,db0b83dd,Dosen
0a3da499,PRODI,POLNEP,ARSITEKTUR,D4 - Arsitektur Bangunan Gedung,,7e34f5d7,Dosen
83e594c9,PRODI,POLNEP,ARSITEKTUR,D3 - Arsitektur,,86bff462,Dosen
a8b07b15,PRODI,PSDKU SANGGAU,AKUNTANSI,D3 - Akuntansi (Sanggau),,802adfb8,Dosen
accb645f,PRODI,POLNEP,ADMINISTRASI BISNIS,D4 - Administrasi Bisnis Otomotif,,5fb95181,Dosen
a6ab5ae7,PRODI,PSDKU SANGGAU,TEKNOLOGI PERTANIAN,D3 - Pengelolaan Hasil Perkebunan (Sanggau),,6dfa0f5d,Dosen
f06d7a28,PRODI,POLNEP,ARSITEKTUR,D3 - Arsitektur,,64f4ea52,Dosen
be3231b2,PRODI,POLNEP,ARSITEKTUR,D3 - Arsitektur,,4705640c,Dosen
0430834d,PRODI,PDD KAPUAS HULU,TEKNIK SIPIL,D3 - Teknik Sipil (Kapuas Hulu),,3f72d7f4,Dosen
d39639a4,PRODI,POLNEP,TEKNIK ELEKTRO,D3 - Teknik Informatika,,9c24a8b8,Dosen
fdd19bee,PRODI,POLNEP,TEKNOLOGI PERTANIAN,D4 - Pengolahan Hasil Perkebunan Terpadu,,cdeaa80a,Dosen
a2494974,PRODI,POLNEP,ADMINISTRASI BISNIS,D3 - Administrasi Bisnis,,dfeeed74,Dosen
3e2dc540,PRODI,POLNEP,ADMINISTRASI BISNIS,D4 - Administrasi Bisnis Otomotif,,14447a08,Dosen
69651884,PRODI,POLNEP,ADMINISTRASI BISNIS,D4 - Administrasi Bisnis Otomotif,,0f66b9e6,Dosen
73be5638,PRODI,POLNEP,ADMINISTRASI BISNIS,D3 - Administrasi Bisnis,,6303d3de,Dosen
ca7717ed,PRODI,POLNEP,TEKNIK ELEKTRO,D4 - Teknologi Rekayasa Sistem Elektronika,,0f039e35,Dosen
92c89fd1,PRODI,POLNEP,TEKNOLOGI PERTANIAN,D3 - Teknologi Pengolahan Hasil Perkebunan,,,
a6516211,REKTORAT,POLNEP,,,PPMPP,6e8bb094,Koordinator Pengembangan Pembelajaran
cadc820b,REKTORAT,POLNEP,,,PPMPP,6e8bb094,Koordinator Pengembangan Pembelajaran
9a6e7455,REKTORAT,POLNEP,,,PPMPP,6e8bb094,Koordinator
2daf3e51,REKTORAT,POLNEP,,,REKTORAT,f94e01bf,Wakil Direktur bidang Kerja Sama
493c6860,REKTORAT,POLNEP,,,REKTORAT,f94e01bf,Wakil Direktur bidang Kerja Sama
36f1775f,PRODI,POLNEP,TEKNIK SIPIL,D3 - Teknik Sipil,,30395d7e,Dosen
3ae2a887,PRODI,POLNEP,TEKNIK ELEKTRO,D3 - Teknik Informatika,,64590a64,Dosen
b0240d39,REKTORAT,POLNEP,,,PUSAT PENELITIAN DAN PENGABDIAN PADA MASYARAKAT,b1f7427e,Ketua
f4ed2f88,JURUSAN,POLNEP,TEKNIK SIPIL,,,30395d7e,Dosen
ab5669f6,PRODI,POLNEP,ILMU KELAUTAN DAN PERIKANAN,D3 - Teknologi Penangkapan Ikan,,05bf3510,Dosen
2e858a80,JURUSAN,POLNEP,TEKNOLOGI PERTANIAN,,,0b82aca0,Dosen
bb182061,PRODI,POLNEP,TEKNIK ELEKTRO,D4 - Teknologi Rekayasa Sistem Elektronika,,885cf1d6,Dosen
ee560109,REKTORAT,POLNEP,,,REKTORAT,f94e01bf,Wakil Direktur bidang Kerja Sama
639bf517,PRODI,POLNEP,TEKNOLOGI PERTANIAN,D4 - Pengolahan Hasil Perkebunan Terpadu,,e5c20556,Dosen
d0d61e45,PRODI,POLNEP,TEKNOLOGI PERTANIAN,D4 - Pengolahan Hasil Perkebunan Terpadu,,d2f66f2b,Dosen
736528c3,PRODI,POLNEP,TEKNOLOGI PERTANIAN,D4 - Manajemen Perkebunan,,c50e2cb1,Dosen
bdd1a2b5,REKTORAT,PSDKU SUKAMARA,,,REKTORAT,,
9fddf892,REKTORAT,POLNEP,,,PPMPP,6e8bb094,Koordinator
ebdbdc1f,JURUSAN,POLNEP,ADMINISTRASI BISNIS,,,316c1d5d,Dosen
e067bb82,PRODI,POLNEP,TEKNIK ELEKTRO,D3 - Teknik Informatika,,,
d0c8fe88,REKTORAT,PSDKU SANGGAU,,,REKTORAT,,
8d56b0de,PRODI,POLNEP,TEKNIK ELEKTRO,D3 - Teknik Elektronika,,,
f661da10,REKTORAT,POLNEP,,,REKTORAT,,
a6f57b09,REKTORAT,POLNEP,,,UPA TEKNOLOGI INFORMASI DAN KOMUNIKASI,03f1f942,Ketua
cfa8e2d9,REKTORAT,POLNEP,,,Kantor Urusan Internasional,49c8b55a,Ketua
ab65ea95,REKTORAT,POLNEP,,,PPMPP,6e8bb094,Ketua
b36acfa0,PRODI,POLNEP,TEKNIK MESIN,D1 - Operator dan Peralatan Alat Berat,,98251f3f,Dosen
cb7beacd,PRODI,POLNEP,ADMINISTRASI BISNIS,D4 - Administrasi Negara,,43b68942,Ketua
4b490ee7,PRODI,POLNEP,TEKNIK ELEKTRO,D3 - Teknik Listrik,,166dac1d,DOSEN
0ff68fd6,PRODI,POLNEP,TEKNIK ELEKTRO,D3 - Teknik Informatika,,0bb6875c,DOSEN
49b5774d,PRODI,POLNEP,TEKNIK MESIN,D2 - Pemeliharaan Kendaraan Ringan,,6383a381,DOSEN
e3eafda0,PRODI,PDD KAPUAS HULU,ILMU KELAUTAN DAN PERIKANAN,D3 - Teknologi Budidaya Perikanan (Kapuas Hulu),,45940c74,DOSEN
042c10b7,PRODI,PDD KAPUAS HULU,TEKNOLOGI PERTANIAN,D3 - Teknologi Pengolahan Hasil Perkebunan (Kapuas Hulu),,c74996da,DOSEN
e147344d,PRODI,PDD KAPUAS HULU,TEKNIK SIPIL,D3 - Teknik Sipil (Kapuas Hulu),,3f72d7f4,DOSEN
8c5b83c1,JURUSAN,POLNEP,ARSITEKTUR,,,9b966c2e,DOSEN
735b5619,PRODI,POLNEP,TEKNOLOGI PERTANIAN,D4 - Budidaya Tanaman Perkebunan,,9311015a,DOSEN
59e7a4ec,REKTORAT,PSDKU SANGGAU,,,,05bf3510,Anggota Kegiatan PKM
043f3af1,PRODI,POLNEP,ILMU KELAUTAN DAN PERIKANAN,D3 - Teknologi Budidaya Perikanan,,be66b712,Ketua Kegiatan PKM
8ac26794,JURUSAN,POLNEP,AKUNTANSI,,,f5f9d9f8,Ketua Kegiatan PKM
940f0bb3,PRODI,POLNEP,ILMU KELAUTAN DAN PERIKANAN,D3 - Teknologi Penangkapan Ikan,,79cdc613,Ketua Kegiatan PKM
2443f388,PRODI,POLNEP,ADMINISTRASI BISNIS,D4 - Administrasi Bisnis Otomotif,,9007f7b8,Ketua Kegiatan PKM
c8f1c9f5,JURUSAN,POLNEP,ADMINISTRASI BISNIS,,,ed4c38bc,Ketua Kegiatan PKM
72744f7d,PRODI,POLNEP,AKUNTANSI,D3 - Akuntansi,,295ec9e0,Ketua Kegiatan PKM
f6273b1a,PRODI,POLNEP,TEKNIK ELEKTRO,D4 - Teknologi Rekayasa Sistem Elektronika,,fe05ef0a,Ketua Kegiatan PKM
3a47d3b4,PRODI,PSDKU SANGGAU,TEKNIK MESIN,D3 - Teknologi Mesin (Sanggau),,8dcd932b,Ketua Kegiatan PKM
73a7dc61,PRODI,POLNEP,TEKNIK MESIN,D1 - Operator dan Peralatan Alat Berat,,85be85f8,DOSEN
2e9fedb5,PRODI,PSDKU SUKAMARA,ILMU KELAUTAN DAN PERIKANAN,D3 - Budi Daya Ikan (Sukamara),,fccdb75f,Ketua Kegiatan PKM
18c9630e,PRODI,POLNEP,AKUNTANSI,D4 - Akuntansi,,e8104b0b,Ketua Kegiatan PKM
4f9ecdec,JURUSAN,POLNEP,AKUNTANSI,,,d705dc57,DOSEN
e09853e9,PRODI,POLNEP,AKUNTANSI,D4 - Akuntansi,,7d5864d1,Ketua Kegiatan PKM
cf47f710,PRODI,POLNEP,AKUNTANSI,D3 - Akuntansi,,8f3e3114,Ketua Kegiatan PKM
dcc2c97b,,POLNEP,ARSITEKTUR,D4 - Arsitektur Bangunan Gedung,,71427601,Ketua Kegiatan PKM
e9c6f18c,PRODI,POLNEP,ILMU KELAUTAN DAN PERIKANAN,D4 - Pengolahan dan Penyimpanan Hasil Perikanan,,9ae3d5c7,DOSEN
c1872c39,JURUSAN,POLNEP,AKUNTANSI,,,295ec9e0,Ketua
79d9ae3a,JURUSAN,POLNEP,AKUNTANSI,,,295ec9e0,Ketua
a51b6614,JURUSAN,POLNEP,AKUNTANSI,,,295ec9e0,Ketua
489322d2,JURUSAN,POLNEP,ADMINISTRASI BISNIS,,,a5e1a266,Ketua
d29d2530,JURUSAN,POLNEP,ADMINISTRASI BISNIS,,,a5e1a266,Ketua
61243428,JURUSAN,POLNEP,ADMINISTRASI BISNIS,,,a5e1a266,Ketua
a92e2412,PRODI,POLNEP,TEKNIK ELEKTRO,D3 - Teknik Listrik,,7a6daf81,Ketua Kegiatan PKM
af768541,PRODI,POLNEP,TEKNIK ELEKTRO,D4 - Teknologi Rekayasa Sistem Elektronika,,0f039e35,Ketua Kegiatan PKM
153a4728,PRODI,POLNEP,ARSITEKTUR,D4 - Arsitektur Bangunan Gedung,,38afb989,Ketua Kegiatan PKM
8844af51,PRODI,POLNEP,ARSITEKTUR,D4 - Desain Kawasan Binaan,,9b966c2e,Ketua Kegiatan PKM
966f85f1,PRODI,POLNEP,ADMINISTRASI BISNIS,D4 - Administrasi Bisnis Otomotif,,14447a08,Ketua Kegiatan PKM
c4cbabd8,REKTORAT,POLNEP,,,PPMPP,6e8bb094,Koordinator Pengembangan Pembelajaran
0cfe598a,JURUSAN,POLNEP,TEKNIK SIPIL,,,8c057351,Ketua Kegiatan PKM
f13c58d5,JURUSAN,PSDKU SUKAMARA,TEKNIK ELEKTRO,D3 - Teknologi Informasi (Kampus Kab. Sukamara),,f5cba8ca,Ketua Kegiatan PKM
1fb023e9,REKTORAT,PSDKU SUKAMARA,,,,6da2a39d,Ketua Kegiatan PKM
07fef1d2,PRODI,POLNEP,TEKNIK MESIN,D4 - Teknik Mesin,,2ab441af,Ketua Kegiatan PKM
bcfbedec,PRODI,POLNEP,TEKNIK SIPIL,D3 - Teknik Sipil,,4901f12a,Ketua Kegiatan PKM
6e0357ec,JURUSAN,POLNEP,AKUNTANSI,,,0bd53596,DOSEN
acf2335f,PRODI,POLNEP,TEKNIK MESIN,D4 - Teknik Mesin,,b0a28bf8,Ketua Kegiatan PKM
6252a5b7,REKTORAT,POLNEP,,,KERUMAHTANGGAAN DAN PENGELOLAAN BARANG MILIK NEGARA,612c0771,Koordinator
742ea847,PRODI,POLNEP,ADMINISTRASI BISNIS,D4 - Administrasi Negara,,a4681c04,Koordinator
9f234b61,JURUSAN,POLNEP,TEKNIK SIPIL,,,97dbd667,
72ddb383,PRODI,POLNEP,ARSITEKTUR,D3 - Arsitektur,,2c079dba,Ketua Kegiatan PKM
5fbfe869,REKTORAT,POLNEP,,,UPA TEKNOLOGI INFORMASI DAN KOMUNIKASI,,
34f367ab,REKTORAT,POLNEP,,,UPA TEKNOLOGI INFORMASI DAN KOMUNIKASI,,
427b00a6,JURUSAN,POLNEP,TEKNIK SIPIL,,,,
88823877,JURUSAN,POLNEP,TEKNIK SIPIL,,,,
4f959559,JURUSAN,POLNEP,ADMINISTRASI BISNIS,,,,
7779ba7c,PRODI,PSDKU SANGGAU,TEKNIK MESIN,D3 - Teknologi Mesin (Sanggau),,,
8800625b,JURUSAN,POLNEP,ARSITEKTUR,,,,
5ca4856b,JURUSAN,POLNEP,TEKNIK SIPIL,,,,
e7c19daf,PRODI,POLNEP,TEKNIK SIPIL,D4 - Perencanaan Perumahan Dan Pemukiman,,,
d706b547,JURUSAN,POLNEP,TEKNOLOGI PERTANIAN,,,,
7a43de15,JURUSAN,POLNEP,TEKNOLOGI PERTANIAN,,,,
7e03ffb1,JURUSAN,POLNEP,AKUNTANSI,,,,
ab50f092,PRODI,POLNEP,TEKNOLOGI PERTANIAN,D4 - Pengolahan Hasil Perkebunan Terpadu,,,
