Link Dokumen,Wilayah,Tahun,Jenis Dokumen,Kerja Sama
https://drive.google.com/file/d/1_1iXTZMM2yig-SSTKxnYnZ-rc3qtLiRV/view?usp=sharing,INTERNASIONAL,2021,MOU,
https://drive.google.com/file/d/1ZgIeXbrjm4G6WnooootxrkpDsXvgyEQf/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1Za71IKKx9sOOXn02dmcNgvAOUWcNJLDn/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1Z_xRuoXJ0gq6-TmYxrA3CcdJ2MKIunsf/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1ZpnSSpMoI22xM-vyxKHyVJfp-JxXPqUD/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1_MKa2QhgCJiGOuXbT7ZUe1SYYvkUfaND/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1_AlikKA4YdynDmWcYwsP2YywBdIx5gZD/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1_DDTd9TGs-r4fME73SqBpjQSDYVqE-a-/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1Zo6olWDfbbRZKHhRbBgY6o9g_vK2M0_U/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1ZnQAZsIf1OF8_YJFc1Z64G5T-DKU4Iwn/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1_8y33qO3aOOF7Xs_RvOqnp2XsHhwcgxS/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1ZmumS6NXUeDXdP3K9rxW-unipJa20JAL/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1_7SRItfUinjK-Ig3Yj4OJJKtYipx-5U_/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1ZlOVD52VCjVmqpCa4NjnnRTLvdsMNXBQ/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1_6XkqQsT2FMXeUoAEnYnq3TSVrfqSwB3/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1_Ce4ZxQJogKNRQjVcU5qTUSFRHO2s0V5/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1_C-YGBU3KkMDLlNmmwbV8f2jzlUkGMI4/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1_BE0uZaE3k5c3vfBiN6Yrpd6ZKH5XuKN/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1_Anxc1aGOdonsxA95QRJsdQdHBcfH3V3/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1ZdmIEQXIjySn7WAv9r7a4dfD4iD0dmRm/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1Zkc9Rx4LNh7WT8pbGTK2D4ZKqORby6C-/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1ZjTR9xRbUDb1zAd93O3ANP3uDGbE8GUA/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1ZjD0nuPoG8YVUTMQttclRkUK9EcPHSkt/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1ZhfDSF5rgG8jOL_66ZwB5GIoRGppFZ7Z/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1Zh2_6oLGaLW47_PdcXUoekkpOgFVwzBs/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1Zgl_4ocHzVLQo4JJSlClZ85H6Gs_4c4H/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1Zc8OaGHVVBZW0TLXxe2FnIQt4KZjCHIt/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1ZyE1XABTF7F3Fc1vMZBxy-gC1UlpZ3Qi/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1_5BlYpH8_4x38MTF4NBx7Qb3VcnOlH6m/view?usp=sharing,NASIONAL,2021,MOU,
