nomor_dokumen,tanggal_penetapan,link_dokumen,tanggal_pengajuan,tentang,nama_mitra
2438/PL16/KL/2012,31-07-2012,https://drive.google.com/file/d/1dfnzePs7wErXDka0xVTw0yLkJ9UfzZAH/view?usp=sharing,31-07-2012,"Pengembangan Infrastruktur Tahan Gempa dalam Hal: Penelitian, Sumber Daya Manusia, Desain, Industri, Pelaksanaan Konstruksi",FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN INSTITUT TEKNOLOGI BANDUNG
1376/PL16/KB/2016,19-05-2016,https://drive.google.com/file/d/1drSzrP3VoFKaRoq-JpKPFfsqZMNV8R3p/view?usp=sharing,19-05-2016,"Kerja Sama dalam Bidang Pendidikan, Penelitian, dan Pengabdian kepada Masyarakat serta Peningkatan Kualitas SDM",UNIVERSITAS BRAWIJAYA
927/PL16/KB/2014,26-11-2014,https://drive.google.com/file/d/1dPks5cl1xFyhcYWEmyhKKrRySd82K6qJ/view?usp=sharing,26-11-2014,Kerja Sama Pelaksanaan Tri Dharma Perguruan Tinggi,POLITEKNIK NEGERI BATAM
926/PL16/KB/2014,26-11-2014,https://drive.google.com/file/d/1dt_lFy0rsSQO78cK8HpIeD1fMr-kXOeg/view?usp=sharing,26-11-2014,Kerja Sama Pelaksanaan Tri Dharma Perguruan Tinggi,POLITEKNIK PERIKANAN NEGERI TUAL
161/PL16/KB/2014,12-03-2014,https://drive.google.com/file/d/1dpLpG5vQOX20I_WYZlhLWN8p5A1lZzzq/view?usp=sharing,12-03-2014,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,UNIVERSITAS TANJUNGPURA (UNTAN)
406/PL16/KB/2014,19-06-2014,https://drive.google.com/file/d/1dtRWwXweHleyJQ8ecbhrbjINwpvNvNvK/view?usp=sharing,19-06-2014,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,SMK NEGERI 1 PONTIANAK
306/PL16/KB/2015,07-04-2015,https://drive.google.com/file/d/1dmn0fREcCA_N-guicMlIxxeQynfmzoI9/view?usp=sharing,07-04-2015,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,INSTITUT AGAMA ISLAM NEGERI PONTIANAK
0287/PL16/KB/2016,29-01-2016,https://drive.google.com/file/d/1dSHz9keThJxAX4Ud5HZxzrx0uV0JiQJ6/view?usp=drive_link,29-01-2016,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,POLITEKNIK NEGERI LAMPUNG
0286/PL16/KB/2016,29-01-2016,https://drive.google.com/file/d/1dQAi4Mp5FH0SLV5PSJj5dVZTnJ5VPm2C/view?usp=sharing,29-01-2016,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,POLITEKNIK PERTANIAN NEGERI PANGKEP
,06-06-2016,https://drive.google.com/file/d/1dnLKIM_r5d6SpT-a6dPfVxpnZzE6RVdq/view?usp=sharing,06-06-2016,"The parties agree to promote and develop co-operation in specified fields of science, technology, health, and humanition.",UNIVERSITAS TANJUNGPURA (UNTAN)
,06-06-2016,https://drive.google.com/file/d/1dnLKIM_r5d6SpT-a6dPfVxpnZzE6RVdq/view?usp=sharing,06-06-2016,"The parties agree to promote and develop co-operation in specified fields of science, technology, health, and humanition.",UNIVERSITY OF LEICESTER
,12-12-2012,https://drive.google.com/file/d/1d_EXVhIHp4jooP8TX_ajJ0tHxKPWL7sa/view?usp=sharing,12-12-2012,"The provisions of this agreement offer a framework within which to develop details of a faculty, staff and student exchange program and to seek donor agency support for jointly developed projects between the IJniversity of Hawai'i at Kapi'olani Community College, Honolulu, HI, USA and Pontianak State Polytechnic, Indonesia.",UNIVERSITY OF HAWAI'I AT KAPI'OLANI COMMUNITY COLLEGE
,23-06-2015,https://drive.google.com/file/d/1dsjk5qvW7L6e6xZiKZDWj8bTheUmAY53/view?usp=sharing,23-06-2015,Academic and Research Cooperation,UNIVERSITY COLLEGE OF TECHNOLOGY SARAWAK (UCTS)
,11-06-2014,https://drive.google.com/file/d/1doHgwwNFP1cdQkd3MSS9xGOJk8N7f4Dm/view?usp=sharing,11-06-2014,"To improve the level of scientific inquiry and instruction offered at both institutions, as well as to promote and strengthen the bonds of friendship and mutual understanding between the two institutions in particular and the populations of their respective countries in general.",UNIVERSITE DE VALENCIENNES ET DU HAINAUT-CAMBRESIS
,26-11-2015,https://drive.google.com/file/d/1dmr2x8ayuoKmWDTUsofVk9DR96o6H5gw/view?usp=sharing,26-11-2015,To make possible and govern the internship program between Polnep and UVHC-IUT based upon principles of mutual equality and the reciprocity of benefits.,UNIVERSITE DE VALENCIENNES ET DU HAINAUT-CAMBRESIS
,12-10-2015,https://drive.google.com/drive/folders/1w7tNoe43XR2zJfyS3FsxdExbCE7boEOS?usp=drive_link,12-10-2015,Kerja Sama di Bidang Akademik dan Penelitian,UNIVERSITY OF LEICESTER
,25-06-2011,https://drive.google.com/file/d/1dsk2okVFsT25ij1UOiKRK_Q8waYv_Foi/view?usp=sharing,25-06-2011,Kesepahaman dalam Bidang Pendidikan dan Pelatihan Budidaya Perikanan bagi Mahasiswa Politeknik Negeri Pontianak,SUPM NEGERI PONTIANAK
,04-02-2014,https://drive.google.com/file/d/1dtTtXzVw7kkfVxy2WhK12gr_029KlI6N/view?usp=sharing,04-02-2014,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,SMK NEGERI 1 SANGGAU LEDO
,01-07-2013,https://drive.google.com/file/d/1dswEflqREIxjE6u6M5_3gacAXfv19IMx/view?usp=sharing,01-07-2013,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,SMK NEGERI 9 PONTIANAK
,29-05-2012,https://drive.google.com/file/d/1dS_LD68n4QRzJj_8QZGS4Wc254ErbEui/view?usp=sharing,29-05-2012,Academic and Research Cooperation,POLITEKNIK MUKAH SARAWAK (PMU)
,16-09-2016,https://drive.google.com/file/d/1dQKn3gd2rkwyUJSNe8mp-OsvY_NKWlp8/view?usp=sharing,16-09-2016,Agreed Minutes,POLITEKNIK KUCHING SARAWAK
